BUSINESS,BUSINESS_TAGS,TIME,WEEKDAY,OCCURRENCE_TYPES,NEIGHBORHOOD,ADDRESS_STREET,ADDRESS_UNIT,ADDRESS_CITY,ADDRESS_STATE,ADDRESS_ZIP,PRIZE_1_TYPE,PRIZE_1_AMOUNT,PRIZE_2_TYPE,PRIZE_2_AMOUNT,PRIZE_3_TYPE,PRIZE_3_AMOUNT,HOST,EVENT_TYPE,Full Address,Latitude,Longitude
MECHANICAL BREWERY,BREWERY,6:30 PM,THURSDAY,,,5 PERINA BLVD SUITE,800,CHERRY HILL,NJ,8003,,,,,,,,QUIZZO,"5 PERINA BLVD SUITE, 800, CHERRY HILL, NJ, 8003",39.90107159488436,-74.98447087425866
BALD BIRDS BREWING,BREWERY,7:00 PM,WEDNESDAY,,,970 RITTENHOUSE RD,#400,AUDUBON,PA,19403,,,,,,,,QUIZZO,"970 RITTENHOUSE RD, #400, AUDUBON, PA, 19403",40.1266302,-75.4165027
LUNACY BREWING COMPANY,BREWERY,7:00 PM,THURSDAY,"SECOND_OF_MONTH,FOURTH_OF_MONTH",,1500 W KINGS HWY,,HADDON HEIGHTS,NJ,8035,,,,,,,,QUIZZO,"1500 W KINGS HWY, HADDON HEIGHTS, NJ, 8035",39.88165,-75.07849
LOWER FORGE BREWERY,BREWERY,7:00 PM,THURSDAY,,,14 S MAIN ST,,MEDFORD,NJ,8055,,,,,,,,QUIZZO,"14 S MAIN ST, MEDFORD, NJ, 8055",39.8991599,-74.8237133
URBAN VILLAGE BREWING CO.,"BREWERY,BAR",8:00 PM,THURSDAY,,NORTHERN LIBERTIES,1001 N 2ND ST,,PHILADELPHIA,PA,19123,GIFT_CARD,40.0,GIFT_CARD,25.0,GIFT_CARD,10.0,,QUIZZO,"1001 N 2ND ST, PHILADELPHIA, PA, 19123",39.9670501,-75.1398455
LOVE CITY BREWING,"BREWERY,FOOD_TRUCKS",7:00 PM,WEDNESDAY,FIRST_OF_MONTH,CALLOWHILL,1023 HAMILTON ST,,PHILADELPHIA,PA,19123,,,,,,,DJ QUIZZO,QUIZZO,"1023 HAMILTON ST, PHILADELPHIA, PA, 19123",39.9602868,-75.1552483
WISSAHICKON BREWING COMPANY,"BREWERY,FOOD_TRUCKS",7:30 PM,THURSDAY,,EAST FALLS,3705 W SCHOOL HOUSE LN,,PHILADELPHIA,PA,19129,,,,,,,SEAN MAGUIRE,QUIZZO,"3705 W SCHOOL HOUSE LN, PHILADELPHIA, PA, 19129",40.0136778,-75.2004463
TWISTED GINGERS,"BREWERY,RESTAURANT",6:30 PM,MONDAY,,MANAYUNK,4317 FLEMING ST,,PHILADELPHIA,PA,19128,,,,,,,BREWTENANT DAN,QUIZZO,"4317 FLEMING ST, PHILADELPHIA, PA, 19128",40.0275252,-75.2185435
DOCK STREET SOUTH,"BREWERY,RESTAURANT",8:00 PM,WEDNESDAY,,SOUTH PHILADELPHIA,2118 WASHINGTON AVE,,PHILADELPHIA,PA,19146,,,,,,,JOHNNY GOODTIMES,QUIZZO,"2118 WASHINGTON AVE, PHILADELPHIA, PA, 19146",39.9391251,-75.17949
TRIPLE BOTTOM BREWING,"BREWERY,RESTAURANT",6:00 PM,WEDNESDAY,"FIRST_OF_MONTH,THIRD_OF_MONTH",SPRING ARTS,915 SPRING GARDEN ST,,PHILADELPHIA,PA,19123,,,,,,,,QUIZZO,"915 SPRING GARDEN ST, PHILADELPHIA, PA, 19123",39.9621393,-75.1533935
