Name,Address,RW_URL,Website,RW_PHOTO,RW_DETAILS,RW_DEALS,RW_MENU,RESERVATION_LINK
Continental Midtown,"1801 Chestnut St, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#continental-midtown-2,https://continentalmidtown.com,https://centercityphila.org/uploads/attachments/cjklggywn00hxtvqd910zdnmy-the-continental-midtown-photo-by-m-fishetti-for-visitphiladelphia.1012.0.4680.4680.full.jpg,"Participating in dinner only. Offering indoor and outdoor dining. Not participating on Saturday, January 27 and Saturday, February 3. ",$45 dinner menu coming soon.,,https://www.opentable.com/restaurant/profile/114355/reserve?ref=939
Cuba Libre Restaurant & Rum Bar,"10 S 2nd St, Philadelphia, PA 19106",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#cuba-libre-restaurant-rum-bar,http://www.cubalibrerestaurant.com,https://centercityphila.org/uploads/attachments/clpifeggz1jigs2qd6l6qd9dr-cuba-libre-interior.1000.0.4016.4016.full.jpg,"Participating in dinner only. Offering indoor dining. Not participating on Saturday, January 27 and Saturday, February 3. Up to 8 guests per party for Restaurant Week menu. ",$45 DINNER,https://centercityphila.org/uploads/attachments/clpu46amf01m0hjqd0wra3c3d-cubalibre-1.pdf,
D'Angelo's Ristorante Italiano & Lounge,"256 S. 20th St, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#d-angelo-s-ristorante-italiano-lounge,http://www.dangeloristorante.com,https://centercityphila.org/uploads/attachments/ciybufxr50jsfteqd6p79t1wh-059.282.0.3331.3331.full.jpg," Participating in dinner and takeout. Offering indoor and outdoor dining. Closed Sunday and Monday. Not participating on Saturday, January 27 and Saturday, February 3. 2 credit cards minimum per party. ",$45 DINNER,https://centercityphila.org/uploads/attachments/clr51elz61rurxwqdvw3x1xnv-dangelo.pdf,https://www.opentable.com/restaurant/profile/37825/reserve?ref=939
Darling Jack's Tavern,"104 South 13th Street, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#darling-jack-s-tavern,http://www.darlingjacks.com,https://centercityphila.org/uploads/attachments/clkx6hj29a2jcm8qdlqh6mftj-darling-jacks-interior-bar-credit-jason-varney.350.0.2001.2001.full.jpg,"Participating in lunch, dinner and takeout. Offering indoor and outdoor dining. ",$45 dinner menu coming soon.,,
Del Frisco's Double Eagle Steakhouse,"1426 Chestnut St, Philadelphia, PA 19102",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#del-frisco-s-double-eagle-steakhouse,,https://centercityphila.org/uploads/attachments/civiiswo9016zlzqdsk8hvnc1-del-friscos.171.0.682.682.full.jpg,"Participating in dinner only. Offering indoor dining. Not participating on Saturday, January 27 and Saturday, February 3. Parties of 8 or larger and Private Dining parties are not eligible for Restaurant Week menu. ",$60 DINNER,https://centercityphila.org/uploads/attachments/clqwvmx7e1emnxwqdqhayq9pq-delfrisco.pdf,https://www.opentable.com/restaurant/profile/28588/reserve?ref=939
Del Frisco's Grille,"225 South Broad Street, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#del-frisco-s-grille,https://delfriscosgrille.com,https://centercityphila.org/uploads/attachments/ciyahjvr50iafu5qdu5tzls7x-restaurant-week-sips-filler-image.0.0.720.720.full.jpg,"Participating in lunch and dinner. Offering indoor dining. Not participating on Saturday, January 27 and Saturday, February 3. ",$45 DINNER,https://centercityphila.org/uploads/attachments/clqh7pzrl0vebc3qdxumabife-delfriscogrille.pdf,https://www.opentable.com/restaurant/profile/1028998/reserve?ref=939
Devil's Alley,"1907 Chestnut St, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#devil-s-alley,http://www.devilsalleybarandgrill.com,https://centercityphila.org/uploads/attachments/ciyga8ns40jbku5qdoxvs5ybn-devilsinterior.0.0.960.960.full.jpg,Participating in dinner and takeout. Offering indoor and outdoor dining. ,$45 dinner menu coming soon.,,
Devon Seafood Grill,"225 S 18th St, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#devon-seafood-grill,http://www.devonseafood.com,https://centercityphila.org/uploads/attachments/cj62h6q8400o2p7qdw2vm1ct6-devon-rw.64.24.971.971.full.jpg,Participating in dinner and takeout. Offering indoor and outdoor dining. ,$45 DINNER,https://centercityphila.org/uploads/attachments/clqwvpslc1f3mqoqd07zlbjf3-devon.pdf,https://www.opentable.com/restaurant/profile/6189/reserve?ref=939
Dim Sum House by Jane G's,"1930 Chestnut St, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#dim-sum-house-by-jane-g-s,http://dimsum.house,https://centercityphila.org/uploads/attachments/cl3udrkgz0p3wu2qdj5lllowm-dimsumhouse.49.0.973.973.full.jpg,Participating in dinner only. Offering indoor and outdoor dining. ,$45 DINNER,https://centercityphila.org/uploads/attachments/clqzbjf4t1ijnxwqdufj10xtt-dimsum.pdf,
Dolce Italian,"1437 Chestnut Street, Philadelphia, PA 19102",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#dolce-italian,http://www.dolceitalianrestaurant.com/location/philadelphia,https://centercityphila.org/uploads/attachments/cl7z48n1v39witvqd17yuxunh-dolcepic.0.656.1996.1996.full.jpg,Participating in lunch and dinner. Offering indoor dining. Closed Sunday and Monday. Parties of 10 or more must be scheduled with event director. ,$45 DINNER | $20 LUNCH,https://centercityphila.org/uploads/attachments/clr7weif81wxxhjqdqfiftadt-dolcedinner-1.pdf,https://www.opentable.com/restaurant/profile/1193428/reserve?ref=939
