Drink,Sips Price,Normal Price,Comparison Result,Sips Bar
Dogfish Head IPA,$5.00,,,The Patio @ Thirteen Restaurant
Victory Dirtwolf Double IPA,$5.00,,,The Patio @ Thirteen Restaurant
Sparkling,$6.00,,,Pearl & Mary
Mai Tai,$6.00,,,Thanal Indian Tavern
Sunset On Top,$7.00,,,Top Tomato Bar & Pizza
High Noon,$7.00,,,Top Tomato Bar & Pizza
Hammered Hulk,$7.00,,,Top Tomato Bar & Pizza
Philly Flush,$7.00,,,Top Tomato Bar & Pizza
Oskar Blues,$5.00,,,Via Locusta
Roots & Culture,$7.00,,,Vintage Wine Bar & Bistro
Well Liquor,$7.00,,,Wrap Shack
Manhattan,,$12.00,,
Irish Coffee,,$10.33,,
Guinness,,$7.25,,
Harp,,$5.00,,
Smithwicks,,$5.50,,
Sam Adams Winter Lager,,$7.00,,
Cape May Crushin It Orange IPA,,$8.00,,
Two Roads Lil Heaven IPA,,$7.00,,
Yards Philly Pale Ale,,$7.00,,
Allagash,,$7.00,,
Kronenberg,,$7.00,,
Lagunitas IPA,,$7.00,,
Cigar City Jai Alai,,$7.00,,
Yards Philty Hazy IPA,,$7.00,,
Lancaster Milk Stout,,$6.75,,
Lefthand Milk Stout,,$6.75,,
St. Bernardus ABT 12,,$10.00,,
Angry Orchard Apple Cider,,$6.50,,
Amstel Light,,$6.25,,
Heineken,,$6.25,,
Heinken Light,,$6.50,,
Fiore Rosa,,$15.00,,
Lemonade,,$10.50,,
Sangria,,$11.00,,
Troegs Perpetual IPA,,$7.00,,
Ommegang Neon Rainbows,,$9.00,,
Elysian Space Dust IPA,,$8.00,,
Wicked Weed Pernicious IPA,,$8.00,,
Victory Berry Monkey,,$9.00,,
Lord Hobo LIFE,,$7.50,,
Sagardoa,,$9.00,,
Wyndridge Original,,$7.00,,
Spritzer,,$8.00,,
Trebbiano,,$12.00,,
Soave,,$15.00,,
Zweigelt,,$12.00,,
Negroamaro,,$12.00,,
