Bar,Drink,Predicted Item,Price,Sips Deal
Butcher Bar,"Aventador: Hornitos Reposado, mango, lime, lemon lime soda",Sheet Bend,$7,Y
Butcher Bar,Red Wine,Red,$6,Y
Butcher Bar,White Wine,Vermentino,$6,Y
Butcher Bar,Michelob Ultra Cans,Michelob Ultra,$5,Y
The Cauldron Philly,Centaur's Cordial: white sangria,White,$7,Y
The Cauldron Philly,"The Blob: Hornitos Blanco, Italicus, Blue Curacao, Creme de violette, lime. Big, Blue, and Bold, it's coming to get you!",Blue Moon,$7,Y
The Cauldron Philly,"The Cauldron Truth Serum: Cucumber and Citrus Infused Gin, elderflower, pink peppercorn, simple, lime",Gin and Tonic,$7,Y
The Cauldron Philly,Pinot Grigio,Pinot Gris / Pinot Grigio,$6,Y
The Cauldron Philly,Cabernet,Cabernet Sauvignon,$6,Y
The Cauldron Philly,Chardonnay,Chardonnay,$6,Y
The Cauldron Philly,Peroni,Peroni,$5,Y
The Cauldron Philly,Fat Heads Sunshine Daydream,Fat Heads Sunshine Daydream,$5,Y
The Cauldron Philly,Mango Cart,Mango Tango,$5,Y
Cavanaugh's Rittenhouse,Paloma,Paloma,$7,Y
Cavanaugh's Rittenhouse,Pinot Grigio,Pinot Gris / Pinot Grigio,$6,Y
Cavanaugh's Rittenhouse,Pinot Noir,Pinot Noir,$6,Y
Cavanaugh's Rittenhouse,Warsteiner Pilsner,Warsteiner Pilsner,$5,Y
Cavanaugh's Rittenhouse,White Claw,White Claw,$5,Y
City Tap House Logan Square,City Tap Margarita with Hornitos Tequila,Margarita,$7,Y
City Tap House Logan Square,Hey Mama Bourbon Punch,Bourbon Punch,$7,Y
City Tap House Logan Square,Oak Grove Pinot Noir,Pinot Noir,$6,Y
City Tap House Logan Square,Bollini Pinot Grigio,Pinot Gris / Pinot Grigio,$6,Y
City Tap House Logan Square,C'est La Vie Rose,Rosé,$6,Y
City Tap House Logan Square,Kenwood Lager,Kenwood Lager,$5,Y
City Tap House Logan Square,PBC Walt Wit,PBC Walt Wit,$5,Y
City Tap House Logan Square,New Trail Crisp Lager,New Trail Crisp Lager,$5,Y
Con Murphy's Irish Pub,"Ranch Wooder with Hornitos Tequila, club soda, lime",Ranch Wooder,$7,Y
Con Murphy's Irish Pub,"Paloma with Hornitos Tequila, grapefruit juice, lime, agave nectar, club soda Blueberry Lemonade with blueberry vodka, lemonade, simple syrup",Paloma,$7,Y
Con Murphy's Irish Pub,Pinot Grigio,Pinot Gris / Pinot Grigio,$6,Y
Con Murphy's Irish Pub,Merlot,Merlot,$6,Y
Con Murphy's Irish Pub,Golden Road Mango Cart Can,Golden Road Mango Cart,$5,Y
Continental Midtown,'Wooder Melon Margarita',Margarita,$7,Y
Continental Midtown,'Northern Lights',Northern Lights,$7,Y
Continental Midtown,'Frozen Astronaut',Frozen Astronaut,$7,Y
Continental Midtown,Domaine De La Patience Red Blend,Red,$6,Y
Continental Midtown,Domaine De La Patience Chardonnay,Chardonnay,$6,Y
Continental Midtown,House Sparkling,White,$6,Y
Continental Midtown,Bud Light,Bud Light,$5,Y
Craftsman Row Saloon,Hornitos Mango Margarita,Margarita,$7,Y
Craftsman Row Saloon,Vodka Mule,Moscow Mule,$7,Y
Craftsman Row Saloon,House Red,Red,$6,Y
Craftsman Row Saloon,House White,White,$6,Y
Craftsman Row Saloon,Modelo Especial lager,Modelo,$5,Y
Craftsman Row Saloon,Kona Big Wave golden ale,Kona Big Wave,$5,Y
Darling Jack's Tavern,Blood Orange Margarita,Margarita,$7,Y
Darling Jack's Tavern,Chardonnay,Chardonnay,$6,Y
Darling Jack's Tavern,Pinot Noir,Pinot Noir,$6,Y
Darling Jack's Tavern,Victory Prima Pils,Victory Prima Pils,$5,Y
Devil's Alley,Paloma,Paloma,$7,Y
Devil's Alley,"Spicy Margarita,",Margarita,$7,Y
Devil's Alley,Mexican Mule,Moscow Mule,$7,Y
Devil's Alley,House Cabernet,Cabernet Sauvignon,$6,Y
Devil's Alley,House Chardonnay,Chardonnay,$6,Y
