Comparison Result,Comparison Fraction,Deal Count,Deal Weight,Result Score,Fraction Score,Deal Score,Sips Bar
13.469999999999999,33.5,4,0.3076923076923077,3.6582051282051276,5.9158536585365855,1.5,1.5
9.0,40.5,2,0.15384615384615385,2.3974358974358974,7.60609756097561,0.8,0.8
9.75,25.5,4,0.3076923076923077,2.6089743589743586,3.984146341463415,1.0,1.0
3.23,10.333333333333334,3,0.23076923076923078,0.77,0.3219512195121953,0.1,0.1
7.25,35.5,2,0.15384615384615385,1.9038461538461537,6.398780487804879,0.6,0.6
15.93,35.5,4,0.3076923076923077,4.352051282051281,6.398780487804879,1.7,1.7
4.0,21.0,2,0.15384615384615385,0.9871794871794872,2.897560975609756,0.3,0.3
7.57,18.0,3,0.23076923076923078,1.994102564102564,2.1731707317073172,0.5,0.5
4.0,36.0,1,0.07692307692307693,0.9871794871794872,6.519512195121952,0.3,0.3
8.9,40.5,2,0.15384615384615385,2.3692307692307693,7.60609756097561,0.8,0.8
35.6,27.153846153846153,13,1.0,9.9,4.383489681050657,7.1,7.1
10.969999999999999,36.333333333333336,3,0.23076923076923078,2.9530769230769227,6.6000000000000005,1.1,1.1
7.13,17.5,4,0.3076923076923077,1.87,2.0524390243902437,0.6,0.6
11.57,36.333333333333336,3,0.23076923076923078,3.1223076923076922,6.6000000000000005,1.1,1.1
10.969999999999999,36.333333333333336,3,0.23076923076923078,2.9530769230769227,6.6000000000000005,1.1,1.1
4.0,36.0,1,0.07692307692307693,0.9871794871794872,6.519512195121952,0.3,0.3
9.870000000000001,44.0,2,0.15384615384615385,2.642820512820513,8.451219512195122,0.9,0.9
18.57,38.2,5,0.38461538461538464,5.096666666666667,7.050731707317074,2.3,2.3
11.0,43.0,2,0.15384615384615385,2.9615384615384617,8.209756097560975,0.9,0.9
7.3,24.333333333333332,3,0.23076923076923078,1.9179487179487178,3.7024390243902436,0.6,0.6
11.469999999999999,37.333333333333336,3,0.23076923076923078,3.094102564102564,6.8414634146341475,1.1,1.1
4.0,36.0,1,0.07692307692307693,0.9871794871794872,6.519512195121952,0.3,0.3
