Name,SIPS_URL,SIPS_COCKTAILS,SIPS_WINE,SIPS_BEER,SIPS_HALFPRICEDAPPS,RW_URL,RW_DETAILS,RW_DEALS,RW_MENU,RESERVATION_LINK,Address,Latitude,Longitude,Website,Categories,Price,Review_Count,RW_PHOTO,SIPS_PARTICIPANT,RW_PARTICIPANT,Neighborhoods,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Smoking,Yelp_Rating,RW_Score,Popularity,Parking,Best_Nights,Payment,Minority_Owned,Good_For,Offers,Options,Vibes,Accessibility,Dogs_Allowed,Packaging,Reservation_Type,Seating,Meal_Types,Music,Alcohol_Options,Amenities
Bistro La Baia,,,,,,https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#bistro-la-baia,"Participating in lunch, dinner and takeout. Offering indoor and outdoor dining. BYOB.",$45 DINNER | $20 LUNCH,https://centercityphila.org/uploads/attachments/clkcv5g3s9es2saqdbqwggo6j-bistrolabaiadinner.pdf,https://www.opentable.com/restaurant/profile/116446/reserve?ref=9169,"1700 Lombard St, Philadelphia, PA 19146",39.945205,-75.17028,https://www.bistrolabaia.com,['Italian'],,245.0,https://centercityphila.org/uploads/attachments/cjkka6rse0009e8qdc1191nmq-bistrolabaia-lobsterravioli.192.5.577.577.full.jpg,N,Y,['Rittenhouse Square'],4:00 PM - 9:30 PM,4:00 PM - 9:30 PM,4:00 PM - 9:30 PM,4:00 PM - 9:30 PM,4:00 PM - 10:30 PM,12:00 PM - 10:30 PM,12:00 PM - 10:30 PM,,3.6,35.0,58.0,Bike Parking,,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout, Offers Catering",Vegan Options,Casual,"Open to All, Wheelchair Accessible, Gender-neutral restrooms",,,Takes Reservations,"Outdoor Seating, Heated Outdoor Seating, Covered Outdoor Seating, Private Dining",,,"Alcohol, Happy Hour","TV, Wi-Fi"
Bistro Romano,,,,,,https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#bistro-romano,Participating in dinner and takeout. Offering indoor and outdoor dining.,$45 DINNER,https://centercityphila.org/uploads/attachments/clksc9wckacvi0vqdn5waxgaf-bistroromano.pdf,https://www.opentable.com/restaurant/profile/1638/reserve?ref=9169,"120 Lombard St, Philadelphia, PA 19147",39.94190354,-75.1442664,http://www.bistroromano.com,"['Italian', 'Wine Bars']",$$,605.0,https://centercityphila.org/uploads/attachments/civfodvlg00twmpqdbg34zlvq-bistroromano-charcuterie-002-1.197.0.949.949.full.jpg,N,Y,['Society Hill'],Closed,Closed,4:45 PM - 9:00 PM,4:45 PM - 9:00 PM,4:45 PM - 9:00 PM,4:45 PM - 9:00 PM,4:45 PM - 9:00 PM,True,4.1,46.0,70.0,"Street Parking, Bike Parking, Validated Parking","Tuesday, Friday, Saturday","Credit Cards, Android Pay",,Dinner,"Offers Delivery, Offers Takeout, Offers Catering",Vegan Options,"Classy, Intimate, Romantic, Dressy, Moderate Noise",Wheelchair Accessible,,,"Walk-ins Welcome, Takes Reservations","Outdoor Seating, Heated Outdoor Seating, Covered Outdoor Seating, Private Dining, Drive-Thru",,,"Happy Hour, Full Bar","TV, Wi-Fi"
Bistrot La Minette,,,,,,https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#bistrot-la-minette,Participating in dinner only. Offering indoor and outdoor dining. Closed Sundays and Mondays.,$45 DINNER,https://centercityphila.org/uploads/attachments/clkr10b7sab5d0vqduolc3nbm-bistrotlaminettedinner.pdf,https://www.opentable.com/restaurant/profile/26455/reserve?ref=9169,"623 S 6th St, Philadelphia, PA 19147",39.94142581,-75.15236567,http://www.bistrotlaminette.com,"['French', 'Breakfast & Brunch']",$$$,659.0,https://centercityphila.org/uploads/attachments/civfof23100tzmpqdxwfuuwvq-bistrot-la-minette-mille-feuille-aux-framboises.602.0.2395.2395.full.jpg,N,Y,['South Street District'],Closed,5:30 PM - 9:30 PM,5:30 PM - 9:30 PM,5:30 PM - 10:30 PM,5:30 PM - 10:30 PM,5:30 PM - 10:30 PM,Closed,,4.4,69.0,83.0,Bike Parking,,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout",Limited Vegetarian Options,"Classy, Romantic, Casual, Moderate Noise",Wheelchair Accessible,,,Takes Reservations,"Outdoor Seating, Heated Outdoor Seating, Covered Outdoor Seating, Private Dining",,,"Happy Hour, Full Bar","TV, Wi-Fi"
Bleu Sushi,,,,,,https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#bleu-sushi,"Participating in lunch, dinner and takeout. Offering indoor and outdoor dining. BYOB.",$45 DINNER AND $20 LUNCH,https://centercityphila.org/uploads/attachments/clrgim8fd2bb73oqd3ddssrsr-bleu-sushi.pdf,https://www.opentable.com/restaurant/profile/148756/reserve?ref=9169,"262 S 10th St, Philadelphia, PA 19107",39.9464973,-75.15798322,http://bleusushiphilly.com,"['Sushi Bars', 'Japanese', 'Asian Fusion']",$$,1083.0,https://centercityphila.org/uploads/attachments/ckef6lh5r31apmuqd1q8w8iw1-bleu-sushi.8.0.3024.3024.full.jpg,N,Y,['Washington Square West'],11:00 AM - 9:30 PM,11:00 AM - 9:30 PM,11:00 AM - 9:30 PM,11:00 AM - 9:30 PM,11:00 AM - 10:30 PM,12:00 PM - 10:30 PM,12:00 PM - 9:30 PM,,4.3,51.0,84.0,"Street Parking, Bike Parking, Garage Parking",,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout, Offers Catering","Vegan Options, Vegetarian Options","Casual, Moderate Noise","Open to All, Gender-neutral restrooms",True,,Takes Reservations,"Outdoor Seating, Heated Outdoor Seating, Covered Outdoor Seating",Dinner,,"Alcohol, Happy Hour","TV, Wi-Fi"
Bolo,,,,,,https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#bolo,Participating in dinner only. Offering indoor dining.,$60 DINNER,https://centercityphila.org/uploads/attachments/clm85iiisbua8omqda4yvcvar-bolo.pdf,http://resy.com/link?venue_id=68243,"2025 Sansom St, Philadelphia, PA 19103",39.95143973,-75.17418559,http://www.bolophl.com,['Latin American'],,30.0,https://www.inquirer.com/resizer/LRAzaQFF9QZ7h88MS6htnC13cb0=/arc-anglerfish-arc2-prod-pmn/public/RHG33YUCMRDRTBHGK7SVIZDVYU.jpg,N,Y,"['Rittenhouse Square', 'Penn Center']",4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,4:00 PM - 12:00 AM,4:00 PM - 12:00 AM,5:00 PM - 9:00 PM,,4.2,46.0,67.0,,,,,Dinner,,,Casual,,,,Takes Reservations,Outdoor Seating,,,Full Bar,
Brauhaus Schmitz,,,,,,https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#brauhaus-schmitz,"Participating in dinner only. Offering indoor dining. Not participating on Saturday, September 16.",$45 DINNER,https://centercityphila.org/uploads/attachments/cll6onygragcdm8qd3r034bdp-brauhahus.pdf,https://resy.com/cities/pha/brauhaus-schmitz,"718 South St, Philadelphia, PA 19147",39.94207565,-75.15461396,http://BrauhausSchmitz.com,"['German', 'Bars']",$$$,813.0,https://centercityphila.org/uploads/attachments/civfoikma00ukkgqdojx4oz8l-brauhaus-schmitz-schweinshaxe-photo-credit-vanessa-beahn.300.0.1500.1500.full.jpg,N,Y,"['Washington Square West', 'Society Hill']",4:00 PM - 12:00 AM,4:00 PM - 12:00 AM,4:00 PM - 12:00 AM,4:00 PM - 12:00 AM,12:00 PM - 12:00 AM,12:00 PM - 12:00 AM,12:00 PM - 12:00 AM,,3.9,60.0,64.0,"Street Parking, Bike Parking","Thursday, Friday, Saturday",Credit Cards,,Dinner,"Offers Delivery, Offers Takeout, Offers Catering",Vegetarian Options,"Casual, Moderate Noise",Gender-neutral restrooms,,,Takes Reservations,Outdoor Seating,,,"Happy Hour, Full Bar","TV, Pool Table, Wi-Fi"
Bridget Foy's,,,,,,https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#bridget-foy-s,"Participating in lunch, dinner and takeout. Closed on Monday and Tuesday. Offering indoor and outdoor dining.",$45 DINNER AND $20 LUNCH,https://centercityphila.org/uploads/attachments/cllo3qgfab1ilm8qdnhyyaz7d-bridgetfoy.pdf,https://www.opentable.com/restaurant/profile/11809/reserve?ref=9169,"200 South Street, Philadelphia, PA 19147",39.941137,-75.145962,http://www.bridgetfoys.com,"['Breakfast & Brunch', 'American (Traditional)', 'Bars']",$$,322.0,https://centercityphila.org/uploads/attachments/ciybp5dp70jq0teqdkiqnyzhz-img-6382.0.0.3024.3024.full.jpg,N,Y,"['South Street District', 'Society Hill']",11:30 AM - 10:00 PM,11:30 AM - 10:00 PM,11:30 AM - 10:00 PM,11:30 AM - 11:00 PM,11:30 AM - 12:00 AM,11:00 AM - 12:00 AM,10:00 AM - 10:00 PM,,3.6,35.0,58.0,"Street Parking, Bike Parking, Garage Parking",,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout, Offers Catering",,"Casual, Moderate Noise",,,,Takes Reservations,Outdoor Seating,"Lunch, Dinner",,Full Bar,"TV, Wi-Fi"
Buca D'oro Ristorante,,,,,,https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#buca-d-oro-ristorante,"Participating in lunch, dinner and takeout. Offering indoor dining.",$45 DINNER | $20 LUNCH,https://centercityphila.org/uploads/attachments/clmgcy1f5d4rc0vqd015d322u-bucadinner.pdf,https://www.opentable.com/restaurant/profile/1207885/reserve?ref=9169,"711 Locust St, Philadelphia, PA 19106",39.94676038,-75.15363423,http://bucadororistorante.com,"['Italian', 'Wine Bars', 'Seafood']",$$$,118.0,https://centercityphila.org/uploads/attachments/ckxgmz3ea4lywleqdqiev2vup-buca-doro.82.81.684.684.full.jpg,N,Y,['Washington Square West'],5:00 PM - 9:00 PM,5:00 PM - 9:00 PM,5:00 PM - 9:00 PM,5:00 PM - 9:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,Closed,True,3.5,50.0,57.0,"Street Parking, Bike Parking, Validated Parking, Garage Parking",,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout","Vegan Options, Vegetarian Options","Classy, Intimate, Romantic, Dressy, Quiet",Wheelchair Accessible,,,Takes Reservations,Outdoor Seating,,,"Happy Hour, Full Bar","TV, Wi-Fi"
Buddakan,,,,,,https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#buddakan,"Participating in dinner only. Offering indoor seating. Not participating on Saturday, September 16 and Saturday, September 23.",$45 DINNER | $45 VEGAN DINNER,https://centercityphila.org/uploads/attachments/clm0u2i0obka8ypqdrvya2sh5-buddakandin.pdf,https://www.opentable.com/restaurant/profile/2860/reserve?ref=9169,"325 Chestnut St, Philadelphia, PA 19106",39.9488836,-75.1470298,http://www.buddakan.com,"['Asian Fusion', 'Chinese']",$$$,1718.0,https://centercityphila.org/uploads/attachments/civfonoej00tjl7qddirwjgz2-buddakan-rw-photo-by-b-krist-for-visit-philadelphia-r.0.209.720.720.full.jpg,N,Y,['Old City'],5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 11:00 PM,5:00 PM - 11:00 PM,4:00 PM - 10:00 PM,,4.1,67.0,84.0,"Street Parking, Bike Parking",,"Credit Cards, Apple Pay",,Dinner,"Offers Delivery, Offers Takeout","Vegan Options, Vegetarian Options","Trendy, Loud",Wheelchair Accessible,,Provides reusable tableware,Takes Reservations,"Outdoor Seating, Covered Outdoor Seating",,,"Happy Hour, Full Bar","TV, Wi-Fi"
Butcher Bar,,,,,,https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#butcher-bar,Participating in dinner only. Offering indoor and outdoor dining.,$45 DINNER,https://centercityphila.org/uploads/attachments/cllntmgoqb021saqdx4mq8n1m-butcher.pdf,https://www.opentable.com/restaurant/profile/269854/reserve?ref=9169,"2034 Chestnut St, Philadelphia, PA 19103",39.9521242,-75.174893,http://www.butcherbarphilly.com,"['Steakhouses', 'Bars', 'Comfort Food']",$$,757.0,https://centercityphila.org/uploads/attachments/cj3kf740600ctnxqdyui7uxu3-butcher-front.0.0.960.960.full.jpg,N,Y,"['Rittenhouse Square', 'Penn Center']",4:00 PM - 9:00 PM,4:00 PM - 9:00 PM,4:00 PM - 9:00 PM,4:00 PM - 10:00 PM,4:00 PM - 11:00 PM,4:00 PM - 11:00 PM,4:00 PM - 9:00 PM,True,4.0,44.0,68.0,"Street Parking, Bike Parking","Thursday, Friday, Saturday",Credit Cards,,Dinner,"Offers Delivery, Offers Takeout, Offers Catering","Vegan Options, Limited Vegetarian Options, Pescatarian Options, Keto Options","Trendy, Casual, Moderate Noise",Gender-neutral restrooms,,,Takes Reservations,"Outdoor Seating, Heated Outdoor Seating, Covered Outdoor Seating, Private Dining, Drive-Thru",,,"Happy Hour, Full Bar","TV, Pool Table, Wi-Fi"
Caribou Café,,,,,,https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#caribou-café,Participating in lunch and dinner. Offering indoor and outdoor dining.,$45 DINNER AND $20 LUNCH,https://centercityphila.org/uploads/attachments/clkcvdr049xkx0vqd4so0rr44-cariboucafedinnerlunch.pdf,https://www.opentable.com/restaurant/profile/113221/reserve?ref=9169,"1126 Walnut St, Philadelphia, PA 19107",39.948647,-75.16027062,http://www.cariboucafe.com,,$$,373.0,https://centercityphila.org/uploads/attachments/cko35uh790a93b7qd1naf7cv8-rw-caribou-cafe.0.0.1440.1440.full.jpg,N,Y,,11:30 AM - 10:30 PM,11:30 AM - 10:30 PM,11:30 AM - 10:30 PM,11:30 AM - 10:30 PM,11:30 AM - 11:30 PM,11:30 AM - 11:30 PM,11:30 AM - 10:30 PM,,3.3,29.0,56.0,"Street Parking, Bike Parking",,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout","Vegan Options, Limited Vegetarian Options","Classy, Casual, Moderate Noise",Gender-neutral restrooms,,,Takes Reservations,Outdoor Seating,,,"Happy Hour, Full Bar","TV, Wi-Fi"
Chart House,,,,,,https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#chart-house,"Participating in dinner only. Offering indoor dining.  Not participating on Saturday, September 16 and Saturday, September 23.",$45 DINNER,https://centercityphila.org/uploads/attachments/clmexrjffcajhsaqdibo2hhx7-charthouse.pdf,https://www.opentable.com/r/chart-house-restaurant-philadelphia?ref=9169#reserve,"555 S. Columbus Blvd, Philadelphia, PA 19147",39.941185,-75.1404988,https://www.chart-house.com/location/chart-house-philad,"['Seafood', 'Steakhouses', 'Venues & Event Spaces']",$$$,418.0,https://centercityphila.org/uploads/attachments/clm9jhpk4c4kqhnqd02g8e1nh-charthouse.217.0.871.871.full.jpg,N,Y,['Penn&#x27;s Landing'],4:30 PM - 9:00 PM,4:30 PM - 9:00 PM,4:30 PM - 9:00 PM,4:30 PM - 9:00 PM,4:30 PM - 10:00 PM,4:30 PM - 10:00 PM,11:00 AM - 9:00 PM,,2.6,33.0,56.0,"Bike Parking, Valet Parking, Private Lot Parking",,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout, Offers Catering","Vegan Options, Vegetarian Options","Classy, Dressy, Moderate Noise",,,,Takes Reservations,Outdoor Seating,,,"Happy Hour, Full Bar","TV, Wi-Fi"
