Restaurant Name,Address,Url,Restaurant Website,Latitude,Longitude
The Morris,"225 S 8th St, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#the-morris,http://themorrisphilly.com,39.947374,-75.15429
Moshulu*,"401 S Columbus Blvd., Philadelphia, PA 19106",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#moshulu,http://www.moshulu.com,39.942047034999874,-75.14199813325844
Ocean Prime*,"124 S 15th St, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#ocean-prime,https://www.ocean-prime.com/locations-menus/philadelphia,39.9504932244898,-75.16584565306123
Oloroso Tapas and Sherry Bar,"1121 Walnut St, Philadelphia PA 19107",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#oloroso-tapas-and-sherry-ba,http://olorosophl.com,39.9490983,-75.15998168203146
Osteria,"640 North Broad Street, Philadelphia, PA 19130",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#osteria,https://www.osteriaphilly.com,39.964982,-75.1611073
Osteria Ama Philly,"1905 Chestnut Street, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#osteria-ama-philly,http://osteriama.com,39.95208125,-75.17214229999999
Oyster House,"1516 Sansom St, Philadelphia, PA 19102",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#oyster-house,http://www.oysterhousephilly.com,39.950302,-75.166539
Panorama,"14 N Front St, Philadelphia, PA 19106",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#panorama,http://www.panoramawinebar.com,39.95060014285714,-75.14201542857143
Patchwork,"1620 Chancellor St., Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#patchwork,https://patchworkphilly.com,39.94923025,-75.16871865087047
Pearl & Mary,"114 S 13th St., Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#pearl-mary,https://www.pearlandmary.com,39.94963294897959,-75.1618857244898
Picanha Brazilian Steakhouse,"1111 Locust St, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#picanha-brazilian-steakhouse,https://picanhasteakhouse.com/?utm_source=GMB&utm_medium=organic&utm_campaign=1SEO_SM_GMB,39.94757815909091,-75.16012427272727
Porcini,"2048 Sansom St, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#porcini,http://www.porcinirestaurant.com,39.95139465,-75.17510576767378
Prunella,"112 S 13th St, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#prunella,https://prunellaphl.com,39.949643418367344,-75.16188345918368
Pumpkin BYOB,"1713 South St, Philadelphia, PA 19146",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#pumpkin-byob,http://www.pumpkinphilly.com,39.9444235,-75.17079556044915
Restaurant Aleksandar,"126 S 19th Street, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#restaurant-aleksandar-2,https://restaurantaleksandar.com,39.9513407,-75.1705557
Rex at The Royal,"1524 South St, Philadelphia, PA 19146",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#rex-at-the-royal,http://www.rexphl.com,39.94382667346939,-75.1676665510204
Sampan,"124 S 13th St, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#sampan7,http://www.sampanphilly.com,39.9495191,-75.1622021
Scarpetta Philadelphia*,"210 W Rittenhouse Square, Philadelphia, PA, 19103",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#scarpetta7,http://www.scarpettarestaurants.com/philadelphia,39.949863699999995,-75.17347519912886
