Name,Takes Reservations,Offers Delivery,Offers Takeout,Vegan Options,Many Vegetarian Options,Accepts Credit Cards,Accepts Android Pay,Accepts Apple Pay,Accepts Cryptocurrency,Outdoor Seating,Trendy,Classy,Moderate Noise,Casual Dress,Offers Catering,Good for Groups,Good for Dinner,Street Parking,Validated Parking,Free Wi-Fi,Happy Hour Specials,Full Bar,TV,Gender-neutral restrooms,Good For Kids,Bike Parking,Neighborhoods,Yelp Rating,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Casual,Good for Lunch,Dinner,Waiter Service,Best nights on Thursday,Best nights on Friday,Best nights on Saturday,Pool Table,Wi-Fi,Dogs Allowed,Wheelchair Accessible,Heated Outdoor Seating,Private Dining,Happy Hour,Smoking,Covered Outdoor Seating,Reservations,Quiet,Valet Parking,Good For Dancing,Good For Working,Dogs Not Allowed,Takeout,Delivery,Limited Vegetarian Options,Good for Brunch,Garage Parking,Loud,Late Night,Plastic-free packaging,Provides reusable tableware,Walk-ins Welcome,Intimate,Romantic,Upscale,Private Lot Parking,Smoking Outside Only,Offers Military Discount,Open to All,Pescatarian Options,Best nights on Wednesday,Dressy,Keto Options,Drive-Thru,Not Wheelchair Accessible,Good for Breakfast,Lunch,Good for Working,Beer and Wine Only,Best nights on Monday,Best nights on Tuesday,Good For Groups,Very Loud,Good for Late Night,Best nights on Sunday,Dessert,Touristy,Black-owned,Live Music,EV charging station available,DJ,Juke Box,Soy-Free Options,Hipster,Alcohol,Asian-owned,Bring your own container allowed,Compostable containers available,Background Music,All Ages,Latinx-owned,Women-owned,Paid Wi-Fi
Ladder 15,True,True,True,,,True,,False,,True,,,True,,False,True,,True,,,True,True,True,True,True,True,"['Penn Center', 'Rittenhouse Square']",2.8,Closed,4:00 PM - 11:00 PM,4:00 PM - 2:00 AM (Next day),4:00 PM - 2:00 AM (Next day),4:00 PM - 2:00 AM (Next day),12:00 PM - 2:00 AM (Next day),12:00 PM - 8:00 PM,True,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leda and the Swan Cocktail Lounge,,,,,,True,,,,True,True,,True,,,True,,,,True,True,True,True,,,True,,3.6,Closed,Closed,5:00 PM - 12:00 AM (Next day),5:00 PM - 12:00 AM (Next day),5:00 PM - 2:00 AM (Next day),5:00 PM - 2:00 AM (Next day),Closed,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,True,,,,,True,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
Little Nonna's,True,True,True,True,,True,False,False,,True,,,True,True,False,True,True,True,,,,True,True,True,True,True,['Washington Square West'],4.2,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,,,,,,,,,True,,,,,True,,True,,,,,,False,,,True,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marathon 16th & Sansom,True,True,True,True,True,True,,True,,True,,True,True,,True,True,,True,,True,,True,True,True,True,True,"['Penn Center', 'Rittenhouse Square']",3.5,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 9:00 PM,True,,,,,,,,,,,,,,,,,,,,,False,,,,True,True,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
Misconduct Tavern,True,,True,,,True,,,,True,,,True,,True,True,True,,,True,True,True,True,True,True,True,"['Penn Center', 'Logan Square']",2.8,12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 11:00 PM,12:00 PM - 11:00 PM,12:00 PM - 10:00 PM,True,,,True,True,True,,True,,,,True,,,True,,,,,True,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
The Mulberry on Arch,True,,True,,True,,,,,True,True,,,,,True,,True,,,True,True,True,,,,"['Penn Center', 'Logan Square', 'Art Museum District']",3.9,Closed,4:00 PM - 12:00 AM (Next day),4:00 PM - 12:00 AM (Next day),4:00 PM - 12:00 AM (Next day),4:00 PM - 2:00 AM (Next day),11:00 AM - 2:00 AM (Next day),11:00 AM - 12:00 AM (Next day),,,,True,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pagano's Market and Bar,,True,True,,True,True,,,,True,,,True,True,True,True,,True,,True,True,True,True,,True,True,"['Penn Center', 'Logan Square']",2.9,6:30 AM - 9:00 PM,6:30 AM - 9:00 PM,6:30 AM - 9:00 PM,6:30 AM - 9:00 PM,6:30 AM - 9:00 PM,Closed,Closed,True,True,,,,,,True,,,,,,,,,True,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patchwork,True,,True,,,True,,True,,True,,True,,,,,,True,,True,True,True,True,,,True,['Rittenhouse Square'],4.0,6:30 AM - 10:30 AM,6:30 AM - 10:30 AM,6:30 AM - 10:30 AM,6:30 AM - 10:30 AM,6:30 AM - 10:30 AM,7:00 AM - 1:00 PM,7:00 AM - 1:00 PM,,,,True,,,,,,,True,True,True,,,True,,,True,,,,,True,,,,,,True,,,,,,,True,,True,,,,,True,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
The Patio @ Thirteen Restaurant,True,,True,,,True,False,False,False,True,,True,True,True,,True,,,,True,,True,True,,True,True,['Market East'],2.8,6:30 AM - 10:00 PM,6:30 AM - 10:00 PM,6:30 AM - 10:00 PM,6:30 AM - 10:00 PM,6:30 AM - 10:00 PM,6:30 AM - 10:00 PM,6:30 AM - 10:00 PM,,True,,True,,,,,,,True,True,True,,,True,,,,,,,,True,,,,,,,,,,,,,,,True,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pearl & Mary,True,,,,,,,,,,True,,,,,,True,,,,True,True,,True,,,['Avenue of the Arts South'],4.4,4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,4:00 PM - 11:00 PM,4:00 PM - 11:00 PM,4:00 PM - 12:00 AM (Next day),11:30 AM - 12:00 AM (Next day),11:30 AM - 10:00 PM,True,,,True,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prunella,True,,,,,True,,False,False,True,True,,True,True,,,True,True,True,,True,True,True,True,,True,['Avenue of the Arts South'],4.4,11:30 AM - 10:00 PM,11:30 AM - 10:00 PM,11:30 AM - 11:00 PM,11:30 AM - 11:00 PM,11:30 AM - 12:00 AM (Next day),11:30 AM - 12:00 AM (Next day),11:30 AM - 10:00 PM,True,,,True,,True,,,True,,True,True,,,True,True,,,,,,,True,True,,,,,,,True,True,,True,,,,,True,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sampan,True,,True,True,,True,False,False,False,True,True,,True,,True,True,True,True,,,True,True,True,True,True,True,['Avenue of the Arts South'],4.1,4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,4:00 PM - 11:00 PM,4:00 PM - 11:00 PM,4:00 PM - 12:00 AM (Next day),4:00 PM - 12:00 AM (Next day),4:00 PM - 10:00 PM,,,,True,,,,,True,,True,True,True,,,True,,,,,,False,,True,True,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sueno,,,,,,,,,,True,,,,True,,,True,,,,True,True,,,,,,3.4,4:00 PM - 12:00 AM (Next day),4:00 PM - 12:00 AM (Next day),4:00 PM - 12:00 AM (Next day),4:00 PM - 12:00 AM (Next day),4:00 PM - 2:00 AM (Next day),4:00 PM - 2:00 AM (Next day),4:00 PM - 12:00 AM (Next day),True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thanal Indian Tavern,True,True,True,True,True,True,,,,True,True,True,True,,True,True,True,True,,True,True,True,True,,True,True,"['Penn Center', 'Logan Square']",4.4,11:30 AM - 2:30 PM,11:30 AM - 2:30 PM,11:30 AM - 2:30 PM,11:30 AM - 2:30 PM,11:30 AM - 2:30 PM,11:30 AM - 2:30 PM,11:30 AM - 2:30 PM,True,,,True,,,,,,,True,True,True,,,True,,,,,,False,,,,,True,,,,True,,True,True,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time Restaurant,True,,,True,True,True,,False,,True,True,True,,True,False,True,True,True,,True,True,True,True,,True,True,['Avenue of the Arts South'],3.8,5:00 PM - 2:00 AM (Next day),5:00 PM - 2:00 AM (Next day),5:00 PM - 2:00 AM (Next day),5:00 PM - 2:00 AM (Next day),5:00 PM - 2:00 AM (Next day),5:00 PM - 2:00 AM (Next day),5:00 PM - 2:00 AM (Next day),,,,True,True,True,True,True,,,True,True,,,,True,,,,True,,False,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,True,,,,,,,,,,,
Tir Na Nog Irish Bar & Grill,True,,True,,True,True,,False,,True,,,,,False,True,,True,,True,True,True,True,,True,True,"['Penn Center', 'Logan Square', 'Art Museum District']",3.3,11:00 AM - 8:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,9:00 AM - 10:00 PM,9:00 AM - 8:00 PM,True,,,True,True,True,True,True,,,True,True,,,,True,,,,True,,,,True,,,,True,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
Top Tomato Bar & Pizza,True,True,True,True,,True,True,True,False,True,,,True,True,True,True,,True,,,True,True,True,True,True,True,,3.5,10:00 AM - 12:00 AM (Next day),10:00 AM - 12:00 AM (Next day),10:00 AM - 12:00 AM (Next day),10:00 AM - 12:00 AM (Next day),10:00 AM - 2:00 AM (Next day),11:00 AM - 2:00 AM (Next day),11:00 AM - 10:00 PM,True,True,True,True,,,,,True,,True,True,True,,True,True,,,,,,False,,,,,,,,,True,,,,,,,,True,,,,,True,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,
Tradesman's,True,True,True,,True,True,,False,,True,,True,True,True,,True,,True,,,True,True,True,,True,,"['Avenue of the Arts South', 'Penn Center']",2.9,4:00 PM - 11:00 PM,4:00 PM - 11:00 PM,4:00 PM - 11:00 PM,4:00 PM - 11:00 PM,4:00 PM - 2:00 AM (Next day),11:00 AM - 2:00 AM (Next day),11:00 AM - 11:00 PM,,,,True,,,,,,True,True,True,,,True,True,,,,True,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
Uptown Beer Garden,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Penn Center', 'Logan Square', 'Art Museum District']",2.8,4:00 PM - 12:00 AM (Next day),4:00 PM - 12:00 AM (Next day),4:00 PM - 12:00 AM (Next day),4:00 PM - 12:00 AM (Next day),4:00 PM - 2:00 AM (Next day),4:00 PM - 2:00 AM (Next day),11:00 AM - 2:00 AM (Next day),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veda - Modern Indian Bistro,True,True,True,True,True,True,,False,False,True,True,True,True,,True,True,,True,,True,True,True,True,,True,True,"['Rittenhouse Square', 'Penn Center']",4.1,11:30 AM - 2:30 PM,11:30 AM - 2:30 PM,11:30 AM - 2:30 PM,11:30 AM - 2:30 PM,11:30 AM - 2:30 PM,11:30 AM - 2:30 PM,11:30 AM - 2:30 PM,,True,True,True,,,,,,,True,,,,,True,,,,,,False,,,,,True,,,,,,,True,True,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Via Locusta,True,,True,,,True,,,False,True,True,True,True,True,True,,True,True,,,True,True,True,True,,,['Rittenhouse Square'],4.3,4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,4:00 PM - 11:00 PM,10:00 AM - 11:00 PM,10:00 AM - 10:00 PM,,,,True,,,True,,,,True,True,True,,True,True,,,,,,,,True,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,
Vintage Wine Bar & Bistro,True,True,True,,True,True,,False,,True,,True,True,True,False,True,True,True,,,True,True,True,,True,True,,3.9,4:00 PM - 12:00 AM (Next day),4:00 PM - 12:00 AM (Next day),4:00 PM - 12:00 AM (Next day),4:00 PM - 12:00 AM (Next day),4:00 PM - 2:00 AM (Next day),4:00 PM - 2:00 AM (Next day),4:00 PM - 12:00 AM (Next day),,,,True,True,True,True,,True,,True,,,,True,True,,,,True,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walnut Garden - Temporarily Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Rittenhouse Square', 'Penn Center']",3.7,12:00 PM - 12:00 AM (Next day),12:00 PM - 12:00 AM (Next day),12:00 PM - 12:00 AM (Next day),12:00 PM - 12:00 AM (Next day),12:00 PM - 12:00 AM (Next day),12:00 PM - 12:00 AM (Next day),12:00 PM - 12:00 AM (Next day),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wayward,True,,True,,,True,False,False,False,True,True,,,,True,True,,,,True,True,True,True,True,,True,,4.1,6:30 AM - 2:00 PM,6:30 AM - 2:00 PM,6:30 AM - 2:00 PM,6:30 AM - 2:00 PM,6:30 AM - 2:00 PM,6:30 AM - 2:00 PM,6:30 AM - 2:00 PM,True,,,True,,,,,,,True,True,True,,,True,,,True,,,False,,True,True,,,,,,,,True,,,,,,True,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wicked Wolf,,,,,,,,,,,,,,,,,,,,,,,True,,,,,3.6,11:00 AM - 11:00 PM,11:00 AM - 11:00 PM,11:00 AM - 11:00 PM,11:00 AM - 2:00 AM (Next day),11:00 AM - 2:00 AM (Next day),11:00 AM - 2:00 AM (Next day),11:00 AM - 11:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrap Shack,,True,True,,True,True,,,,True,,True,True,,True,True,,,,True,,True,True,True,True,True,,3.5,4:00 PM - 11:00 PM,10:30 AM - 11:00 PM,10:30 AM - 11:00 PM,10:30 AM - 12:00 AM (Next day),11:00 AM - 2:00 AM (Next day),11:00 AM - 2:00 AM (Next day),11:00 AM - 11:00 PM,True,True,,True,,,,,,,True,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aki Nom Nom,True,True,True,True,True,True,False,False,False,True,,,True,True,True,True,,True,,,True,True,True,True,True,True,['Washington Square West'],3.5,11:30 AM - 10:30 PM,11:30 AM - 10:30 PM,11:30 AM - 10:30 PM,11:30 AM - 10:30 PM,11:30 AM - 12:00 AM (Next day),11:30 AM - 12:00 AM (Next day),11:30 AM - 10:30 PM,True,True,True,True,,,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,
Alice Pizza,True,True,True,,,True,,,,True,True,True,True,True,True,True,,True,,True,,True,True,True,True,True,"['Avenue of the Arts South', 'Rittenhouse Square']",4.3,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:30 AM - 9:00 PM,True,True,True,True,,,,,,,True,True,,True,,True,,,,,,False,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,
Amada,True,True,True,True,True,True,,False,,True,True,,True,,True,,True,True,,,True,True,True,,True,True,['Old City'],4.2,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,11:30 AM - 3:00 PM,11:30 AM - 3:00 PM,,,,,,,,,True,,,,True,,,,,,,,,False,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,
Amina,True,True,True,,,,,,,True,True,True,True,,,True,True,True,,,,True,,,,,['Old City'],4.0,Closed,4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,4:00 PM - 12:00 AM (Next day),4:00 PM - 12:00 AM (Next day),10:00 AM - 12:00 AM (Next day),10:00 AM - 10:00 PM,True,,,True,,,,,,,,,,,,,,,,,,False,,,,,,,,,True,,True,True,True,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,
Bahn Mi and Bottles,True,True,True,True,True,True,,False,,True,True,True,True,True,True,True,,True,,True,True,True,True,True,True,True,"['South Street District', 'Society Hill', 'Washington Square West']",4.2,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 11:00 PM,12:00 PM - 11:00 PM,12:00 PM - 10:00 PM,True,True,True,True,,,True,True,,,,,,,True,,,,,True,,,,,,,True,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
Bellini,True,,,,,True,False,True,False,True,,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,['Rittenhouse Square'],3.1,4:00 PM - 9:00 PM,4:00 PM - 9:00 PM,4:00 PM - 9:00 PM,4:00 PM - 9:00 PM,4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,4:00 PM - 9:00 PM,,,,True,,,True,,,,True,True,,,True,True,,,,True,,,True,True,,,True,,,,,,,,,,,,True,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bistro La Baia,True,True,True,True,,True,,False,False,True,,,,,True,,,,,True,True,,True,True,,True,['Rittenhouse Square'],3.6,4:00 PM - 9:30 PM,4:00 PM - 9:30 PM,4:00 PM - 9:30 PM,4:00 PM - 9:30 PM,4:00 PM - 10:30 PM,12:00 PM - 10:30 PM,12:00 PM - 10:30 PM,True,,,True,,,,,,,True,True,True,,,True,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
Bistro Romano,True,True,True,True,,True,True,False,,True,,True,True,,True,True,True,True,True,True,True,True,True,,True,True,['Society Hill'],4.1,Closed,Closed,4:45 PM - 9:00 PM,4:45 PM - 9:00 PM,4:45 PM - 9:00 PM,4:45 PM - 9:00 PM,4:45 PM - 9:00 PM,,,,True,,True,True,,,,True,True,True,,True,True,,,,True,,False,,,,,,,,,,True,True,True,,,,,,,,True,,True,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
Bistrot La Minette,True,,True,,,True,False,False,,True,,True,True,True,False,True,True,,,,True,True,True,,True,True,['South Street District'],4.4,Closed,5:30 PM - 9:30 PM,5:30 PM - 9:30 PM,5:30 PM - 10:30 PM,5:30 PM - 10:30 PM,5:30 PM - 10:30 PM,Closed,,,,True,,,,,True,,True,True,True,,,True,,,,,,False,,True,True,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bleu Sushi,True,True,True,True,True,True,,False,,True,,,True,True,True,True,,True,,True,True,,True,True,True,True,['Washington Square West'],4.3,11:00 AM - 9:30 PM,11:00 AM - 9:30 PM,11:00 AM - 9:30 PM,11:00 AM - 9:30 PM,11:00 AM - 10:30 PM,12:00 PM - 10:30 PM,12:00 PM - 9:30 PM,True,True,True,True,,,,,,True,,True,,,,True,,,,,,,,,,,True,,,,,,,,,,,,True,,,,,,False,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,
Blume Food & Cocktail,True,True,True,True,True,True,False,False,False,True,True,True,True,,False,True,,True,,True,True,True,True,,,True,['Rittenhouse Square'],2.6,4:00 PM - 11:00 PM,4:00 PM - 11:00 PM,4:00 PM - 11:00 PM,4:00 PM - 11:00 PM,4:00 PM - 11:00 PM,1:00 PM - 11:00 PM,1:00 PM - 11:00 PM,True,,,True,,,,,,,True,,True,,True,True,,,,,,False,,,,,True,,,,,,,,,,,,True,,True,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
Bolo,True,,,,,,,,,True,,,,,,True,,,,,,True,,,,,"['Rittenhouse Square', 'Penn Center']",4.2,4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,4:00 PM - 12:00 AM (Next day),4:00 PM - 12:00 AM (Next day),5:00 PM - 9:00 PM,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brauhaus Schmitz,True,True,True,,True,True,,False,,True,,,True,,True,True,True,True,,,True,True,True,True,True,True,"['Washington Square West', 'Society Hill']",3.9,4:00 PM - 12:00 AM (Next day),4:00 PM - 12:00 AM (Next day),4:00 PM - 12:00 AM (Next day),4:00 PM - 12:00 AM (Next day),12:00 PM - 12:00 AM (Next day),12:00 PM - 12:00 AM (Next day),12:00 PM - 12:00 AM (Next day),True,,,,True,True,True,True,True,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridget Foy's,True,True,True,,,True,,,,True,,,True,,True,True,,True,,True,,True,True,,True,True,"['South Street District', 'Society Hill']",3.6,11:30 AM - 10:00 PM,11:30 AM - 10:00 PM,11:30 AM - 10:00 PM,11:30 AM - 11:00 PM,11:30 AM - 12:00 AM (Next day),11:00 AM - 12:00 AM (Next day),10:00 AM - 10:00 PM,True,,True,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
Buddakan,True,True,True,True,True,True,False,True,,True,True,,,,False,True,True,True,,,True,True,True,,True,True,['Old City'],4.1,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 11:00 PM,5:00 PM - 11:00 PM,4:00 PM - 10:00 PM,,,,True,,,,,True,,True,,,,,True,,,,,,False,,,,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caribou Café,True,True,True,True,,True,,,,True,,True,True,True,False,True,True,True,,True,True,True,True,True,True,True,,3.3,11:30 AM - 10:30 PM,11:30 AM - 10:30 PM,11:30 AM - 10:30 PM,11:30 AM - 10:30 PM,11:30 AM - 11:30 PM,11:30 AM - 11:30 PM,11:30 AM - 10:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chart House,True,True,True,True,True,True,,False,,True,,True,True,,True,True,True,,,True,True,True,True,,True,True,['Penn&#x27;s Landing'],2.6,4:30 PM - 9:00 PM,4:30 PM - 9:00 PM,4:30 PM - 9:00 PM,4:30 PM - 9:00 PM,4:30 PM - 10:00 PM,4:30 PM - 10:00 PM,11:00 AM - 9:00 PM,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,True,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chez Colette,True,,,,True,True,,,False,True,,True,,True,True,True,,,,True,,,True,,True,True,"['Penn Center', 'Rittenhouse Square']",3.4,Closed,7:00 AM - 11:00 AM,7:00 AM - 11:00 AM,7:00 AM - 11:00 AM,7:00 AM - 11:00 AM,7:00 AM - 11:00 AM,7:00 AM - 12:00 PM,,,,,,,,,,,,,,,,,,True,True,,,,True,True,,,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,True,,,,,,,,
Chez Hansi,,True,True,,,True,,,,True,,,,,True,,,,,True,,,True,,,True,['Rittenhouse Square'],4.7,Closed,Closed,5:00 PM - 9:00 PM,5:00 PM - 9:00 PM,5:00 PM - 9:00 PM,10:00 AM - 2:00 PM,10:00 AM - 2:00 PM,,,,True,,,,,,,,True,True,,,True,,,,,,,,,,,,,,True,,,,,,,,,,,,,,True,False,,,,,,,,,,,,,,,,,,,,True,,True,True,,,,,
Chubby Cattle,True,True,True,True,True,True,False,False,,True,True,,True,,False,True,,True,,,True,,True,True,True,True,['Chinatown'],4.5,12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 11:00 PM,12:00 PM - 11:00 PM,12:00 PM - 11:00 PM,True,True,True,True,,,,,True,,True,,,,,,,,,,,False,,,,,,,True,,True,,True,,,,,,True,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
City Winery,True,,True,True,True,True,,,,True,,True,True,,True,,,True,,True,True,True,True,True,,,['Market East'],2.6,4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,4:00 PM - 11:00 PM,12:00 PM - 11:00 PM,12:00 PM - 10:00 PM,,,,True,,,,,,,True,True,True,,True,True,,,,,,False,,True,,,True,,,True,True,True,,,,,,,True,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,True,,,,
Cuba Libre Restaurant & Rum Bar,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,['Old City'],3.7,4:00 PM - 9:00 PM,4:00 PM - 9:00 PM,4:00 PM - 9:00 PM,4:00 PM - 9:00 PM,4:00 PM - 2:00 AM (Next day),12:00 PM - 2:00 AM (Next day),12:00 PM - 9:00 PM,,,,True,True,True,True,,,,True,True,True,,True,True,,,,True,,False,,,,,True,,,,True,,,,,,,True,True,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,
D'Angelo's Ristorante Italiano & Lounge,True,,True,,,True,,,,True,,True,True,True,,True,True,True,,,,True,True,,True,True,['Rittenhouse Square'],3.4,Closed,4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,Closed,,,,,True,True,True,,,,,,,,,,,,,,,,,True,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
The Dandelion,True,True,True,True,,True,False,False,,True,,,True,,False,True,True,True,,,True,True,True,True,True,True,"['Rittenhouse Square', 'Penn Center']",4.2,11:30 AM - 11:00 PM,11:30 AM - 11:00 PM,11:30 AM - 11:00 PM,11:30 AM - 11:00 PM,11:30 AM - 12:00 AM (Next day),10:00 AM - 12:00 AM (Next day),10:00 AM - 10:00 PM,,,,True,,,,,True,,,,,,,,,,,,,False,,,True,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Del Frisco's Double Eagle Steakhouse,True,True,True,,,True,False,False,,True,,True,True,,True,True,True,True,,True,True,True,True,,True,True,"['Penn Center', 'Avenue of the Arts South', 'Rittenhouse Square']",3.8,5:00 PM - 9:00 PM,5:00 PM - 9:00 PM,5:00 PM - 9:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,4:00 PM - 10:00 PM,4:00 PM - 9:00 PM,,,,,,,,,,,,,,,,,,,True,,,False,,,,,True,,,,,,,,True,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
