BUSINESS,BUSINESS_TAGS,TIME,WEEKDAY,OCCURRENCE_TYPES,NEIGHBORHOOD,ADDRESS_STREET,ADDRESS_UNIT,ADDRESS_CITY,ADDRESS_STATE,ADDRESS_ZIP,PRIZE_1_TYPE,PRIZE_1_AMOUNT,PRIZE_2_TYPE,PRIZE_2_AMOUNT,PRIZE_3_TYPE,PRIZE_3_AMOUNT,HOST,EVENT_TYPE
OLD ORIGINAL NICK'S ROAST BEEF,RESTAURANT,8:00 PM,TUESDAY,,WEST PASSYUNK,2149 S 20TH ST,,PHILADELPHIA,PA,19145,,,,,,,,QUIZZO
SIDE CAR BAR,"RESTAURANT,BAR",8:00 PM,SUNDAY,,GRADUATE HOSPITAL,2201 CHRISTIAN ST,,PHILADELPHIA,PA,19146,,,,,,,3WAYQUIZZO,QUIZZO
INTERSTATE DRAFTHOUSE,"RESTAURANT,BAR",8:00 PM,TUESDAY,,FISHTOWN,1235 E PALMER ST,,PHILADELPHIA,PA,19125,,,,,,,ANXIOUS MILLENIAL QUIZZO,QUIZZO
MIFFLIN TAVERN,"RESTAURANT,BAR",6:30 PM,TUESDAY,,PENNSPORT,1843 S 2ND ST,,PHILADELPHIA,PA,19148,,,,,,,DJ DENIM,QUIZZO
GREAT AMERICAN PUB (CONSHOHOCKEN),"RESTAURANT,BAR",8:00 PM,WEDNESDAY,,,123 FAYETTE ST,,CONSHOHOCKEN,PA,19428,,,,,,,DJ GADGET,QUIZZO
PJ'S NEWTOWN SQUARE,"RESTAURANT,BAR",7:30 PM,TUESDAY,,,4803 WEST CHESTER PIKE,,NEWTOWN SQUARE,PA,19073,,,,,,,DJMUVE,QUIZZO
TIN CAN BAR,"RESTAURANT,BAR",6:00 PM,MONDAY,,PORT RICHMOND,2537 E SOMERSET ST,,PHILADELPHIA,PA,19134,GIFT_CARD,50,,,,,ELI'S QUIZZO REVIVAL,QUIZZO
THE SHIPYARD BAR,"RESTAURANT,BAR",7:00 PM,WEDNESDAY,,PORT RICHMOND,2537 E ONTARIO ST,,PHILADELPHIA,PA,19134,GIFT_CARD,50,,,,,ELI'S QUIZZO REVIVAL,QUIZZO
NATIONAL MECHANICS,"RESTAURANT,BAR",8:00 PM,WEDNESDAY,,OLD CITY,22 S 3RD STREET,,PHILADELPHIA,PA,19106,,,,,,,EZALMIGHTY,QUIZZO
THE AMBASSADOR,"RESTAURANT,BAR",8:00 PM,TUESDAY,"SECOND_OF_MONTH,FOURTH_OF_MONTH",KENSINGTON,635 W GIRARD AVE,,PHILADELPHIA,PA,19123,GIFT_CARD,50,,,,,HTOTHEQUIZZO,MUSIC_QUIZZO
HILLTOWN TAVERN,"RESTAURANT,BAR",8:00 PM,THURSDAY,,FAIRMOUNT,795 N 24TH ST,,PHILADELPHIA,PA,19130,,,,,,,HTOTHEQUIZZO,MUSIC_QUIZZO
SUTTON'S,"RESTAURANT,BAR",8:00 PM,WEDNESDAY,,KENSINGTON,1706 N 5TH ST,,PHILADELPHIA,PA,19122,CASH,50,CASH,25,,,JAWNYQ,QUIZZO
NEW WAVE CAFE,"RESTAURANT,BAR",8:00 PM,MONDAY,,BELLA VISTA,784 S 3RD ST,,PHILADELPHIA,PA,19147,CASH,50,CASH,25,,,JAWNYQ,QUIZZO
STRANGELOVE'S,"RESTAURANT,BAR",8:00 PM,MONDAY,,CENTER CITY,216 S 11TH STREET,,PHILADELPHIA,PA,19107,GIFT_CARD,40,,,,,JB,QUIZZO
ERA,"RESTAURANT,BAR",8:00 PM,WEDNESDAY,,BREWERYTOWN,2743 POPLAR ST,,PHILADELPHIA,PA,19130,,,,,,,JB,QUIZZO
JOHN HENRY ARDMORE,"RESTAURANT,BAR",9:00 PM,FRIDAY,,,98 CRICKET AVE,,ARDMORE,PA,19003,,,,,,,JOHNNY CHEESETEAK,QUIZZO
FOUNDING FATHERS,"RESTAURANT,BAR",8:00 PM,TUESDAY,,SOUTH STREET,1612 SOUTH ST,,PHILADELPHIA,PA,19146,,,,,,,JOHNNY GOODTIMES,QUIZZO
LASCALA'S BIRRA,"RESTAURANT,BAR",8:00 PM,THURSDAY,,PASSYUNK,1700 E PASSYUNK AVE,,PHILADELPHIA,PA,19148,,,,,,,JOHNNY GOODTIMES,QUIZZO
DELI AT DWELL,"RESTAURANT,BAR",7:00 PM,THURSDAY,,FISHTOWN,1301 N AMERICAN ST,,PHILADELPHIA,PA,19122,,,,,,,JOHNNY GOODTIMES,QUIZZO
UNION TAP HOUSE,"RESTAURANT,BAR",7:30 PM,WEDNESDAY,,MANAYUNK,4801 UMBRIA ST,,PHILADELPHIA,PA,19127,CASH,50,,,,,JUSTIN CREDIBLE,QUIZZO
MAGGIE'S WATERFRONT CAFE,"RESTAURANT,BAR",8:00 PM,WEDNESDAY,,TORRESDALE,9242 DELAWARE AVE,,PHILADELPHIA,PA,19114,,,,,,,KATIE DAVIS,QUIZZO
MISCONDUCT TAVERN UNIVERSITY CITY,"RESTAURANT,BAR",7:00 PM,WEDNESDAY,,UNIVERSITY CITY,3131 WALNUT ST,,PHILADELPHIA,PA,19104,,,,,,,LUNCH MONEY QUIZZO,QUIZZO
MISCONDUCT TAVERN RITTENHOUSE,"RESTAURANT,BAR",7:00 PM,WEDNESDAY,,RITTENHOUSE SQUARE,1511 LOCUST ST,,PHILADELPHIA,PA,19102,GIFT_CARD,100,,,,,LUNCH MONEY QUIZZO,QUIZZO
BARSTOOL SANSOM STREET,"RESTAURANT,BAR",7:00 PM,TUESDAY,,CENTER CITY,1213 SANSOM ST,,PHILADELPHIA,PA,19107,,,,,,,LUNCH MONEY QUIZZO,QUIZZO
MISCONDUCT TAVERN JFK,"RESTAURANT,BAR",7:00 PM,TUESDAY,,CENTER CITY,1801 JOHN F KENNEDY BLVD,,PHILADELPHIA,PA,19103,,,,,,,LUNCH MONEY QUIZZO,QUIZZO
SIDE BAR,"RESTAURANT,BAR",8:00 PM,WEDNESDAY,,,10 EAST GAY STREET,,WEST CHESTER,PA,19380,,,,,,,MIKE ARGY,QUIZZO
THE INTERNATIONAL,"RESTAURANT,BAR",7:00 PM,WEDNESDAY,FIRST_OF_MONTH,FISHTOWN,1624 N FRONT ST,,PHILADELPHIA,PA,19122,,,,,,,MIKEV_EE,QUIZZO
OWEN'S PUB,"RESTAURANT,BAR",8:00 PM,WEDNESDAY,,,119 E 17TH AVE,,NORTH WILDWOOD,NJ,8260,,,,,,,MIKEY D,QUIZZO
WORLD OF BEER EXTON,"RESTAURANT,BAR",6:30 PM,SUNDAY,,,102 MAIN ST,STE 100,EXTON,PA,19341,,,,,,,QUIZZO WITH ALYSSA,QUIZZO
