BUSINESS,BUSINESS_TAGS,OCCURRENCE_TYPES,NEIGHBORHOOD,ADDRESS_STREET,ADDRESS_UNIT,ADDRESS_CITY,ADDRESS_STATE,ADDRESS_ZIP,Full Address,Latitude,Longitude,TIME,WEEKDAY,PRIZE_1_TYPE,PRIZE_1_AMOUNT,PRIZE_2_TYPE,PRIZE_2_AMOUNT,PRIZE_3_TYPE,PRIZE_3_AMOUNT,HOST,EVENT_TYPE
MECHANICAL BREWERY,BREWERY,,,5 PERINA BLVD SUITE,800,CHERRY HILL,NJ,8003.0,"5 PERINA BLVD SUITE, 800, CHERRY HILL, NJ, 8003",39.90107159488436,-74.98447087425866,6:30 PM,THURSDAY,,,,,,,,QUIZZO
MEYERS BREWING COMPANY,BREWERY,,FISHTOWN,436 E GIRARD AVE,,PHILADELPHIA,PA,19125.0,"436 E GIRARD AVE, PHILADELPHIA, PA, 19125",39.9704195,-75.129135,7:30 PM,THURSDAY,,,,,,,,QUIZZO
MIDNIGHT OIL BREWING COMPANY,"BREWERY,RESTAURANT",,,74 PENCADER DR,,NEWARK,DE,19702.0,"74 PENCADER DR, NEWARK, DE, 19702",39.6119712,-75.7616813,7:00 PM,TUESDAY,,,,,,,,QUIZZO
MILKBOY SOUTH STREET,"RESTAURANT,BAR",,SOUTH STREET,401 SOUTH ST,,PHILADELPHIA,PA,19147.0,"401 SOUTH ST, PHILADELPHIA, PA, 19147",39.9417025,-75.1492453,7:00 PM,MONDAY,,,,,,,,QUIZZO
MISCONDUCT TAVERN JFK,"RESTAURANT,BAR",,CENTER CITY,1801 JOHN F KENNEDY BLVD,,PHILADELPHIA,PA,19103.0,"1801 JOHN F KENNEDY BLVD, PHILADELPHIA, PA, 19103",39.954295,-75.169931,7:00 PM,TUESDAY,,,,,,,LUNCH MONEY QUIZZO,QUIZZO
MISCONDUCT TAVERN RITTENHOUSE,"RESTAURANT,BAR",,RITTENHOUSE SQUARE,1511 LOCUST ST,,PHILADELPHIA,PA,19102.0,"1511 LOCUST ST, PHILADELPHIA, PA, 19102",39.9486784,-75.1665675,7:00 PM,WEDNESDAY,GIFT_CARD,100.0,,,,,LUNCH MONEY QUIZZO,QUIZZO
MISCONDUCT TAVERN UNIVERSITY CITY,"RESTAURANT,BAR",,UNIVERSITY CITY,3131 WALNUT ST,,PHILADELPHIA,PA,19104.0,"3131 WALNUT ST, PHILADELPHIA, PA, 19104",39.9523255,-75.186976,7:00 PM,WEDNESDAY,,,,,,,LUNCH MONEY QUIZZO,QUIZZO
MONSTER VEGAN,"RESTAURANT,BAR,VEGAN","FIRST_OF_MONTH,THIRD_OF_MONTH",CENTER CITY,1229 SPRUCE ST,,PHILADELPHIA,PA,19107.0,"1229 SPRUCE ST, PHILADELPHIA, PA, 19107",39.9467829,-75.1622275,7:00 PM,TUESDAY,,,,,,,SAM WE ARE PODCAST,QUIZZO
MOONSHINE PHILLY,"RESTAURANT,BAR",,PENNSPORT,1825 E MOYAMENSING AVE,,PHILADELPHIA,PA,19148.0,"1825 E MOYAMENSING AVE, PHILADELPHIA, PA, 19148",39.9250242,-75.1516341,8:00 PM,TUESDAY,,,,,,,,QUIZZO
MOUNT AIRY TAP ROOM,"RESTAURANT,BAR",,MOUNT AIRY,300 W MT PLEASANT AVE,,PHILADELPHIA,PA,19119.0,"300 W MT PLEASANT AVE, PHILADELPHIA, PA, 19119",40.0539139,-75.194211,8:00 PM,TUESDAY,GIFT_CARD,GC: $50,GIFT_CARD, $30,,,,QUIZZO
