BUSINESS,BUSINESS_TAGS,OCCURRENCE_TYPES,NEIGHBORHOOD,ADDRESS_STREET,ADDRESS_UNIT,ADDRESS_CITY,ADDRESS_STATE,ADDRESS_ZIP,Full Address,Latitude,Longitude,TIME,WEEKDAY,PRIZE_1_TYPE,PRIZE_1_AMOUNT,PRIZE_2_TYPE,PRIZE_2_AMOUNT,PRIZE_3_TYPE,PRIZE_3_AMOUNT,HOST,EVENT_TYPE
STABLE 12 BREWING CO.,"BREWERY,RESTAURANT",,,368 BRIDGE ST,,PHOENIXVILLE,PA,19460.0,"368 BRIDGE ST, PHOENIXVILLE, PA, 19460",40.1329749,-75.5207887,7:00 PM,WEDNESDAY,,,,,,,,QUIZZO
STICKMAN BREWS,"BREWERY,RESTAURANT",,,326 N LEWIS RD,#240,ROYERSFORD,PA,19468.0,"326 N LEWIS RD, #240, ROYERSFORD, PA, 19468",40.1958049,-75.5340481,7:00 PM,THURSDAY,,,,,,,,QUIZZO
IMPRINT BEER CO.,"BREWERY,RESTAURANT,ARCADE,CANTINA","SECOND_OF_MONTH,FOURTH_OF_MONTH",,1500 INDUSTRY RD,STE R,HATFIELD,PA,19440.0,"1500 INDUSTRY RD, STE R, HATFIELD, PA, 19440",40.2628979,-75.2827984,7:00 PM,THURSDAY,,,,,,,LUNCH MONEY QUIZZO,QUIZZO
STOLEN SUN BREWING AND ROASTING,"BREWERY,ROASTERY",,,342 N POTTSTOWN PIKE,SUITE B,EXTON,PA,19341.0,"342 N POTTSTOWN PIKE, SUITE B, EXTON, PA, 19341",40.0541068,-75.6405673,6:30 PM,WEDNESDAY,,,,,,,SHAMUS HALLORAN,QUIZZO
SHADY BROOK FARM,FARMERS_MARKET,,,931 STONY HILL RD,,YARDLEY,PA,19067.0,"931 STONY HILL RD, YARDLEY, PA, 19067",40.2272354,-74.8862943,7:00 PM,WEDNESDAY,,,,,,,EMILY AND JOE,QUIZZO
SANTUCCI'S,PIZZERIA,,WEST POPLAR,655 N BROAD ST,,PHILADELPHIA,PA,19123.0,"655 N BROAD ST, PHILADELPHIA, PA, 19123",39.965878,-75.160545,7:00 PM,WEDNESDAY,,,,,,,SJK,QUIZZO
RAMS PIZZA,PIZZERIA,,,25 E BROADWAY AVE,,CLIFTON HEIGHTS,PA,19018.0,"25 E BROADWAY AVE, CLIFTON HEIGHTS, PA, 19018",39.9284343,-75.2940756,8:00 PM,TUESDAY,,,,,,,,QUIZZO
PAPPOUS PIZZA PUB,"PIZZERIA,BAR",,,415 BALTIMORE PIKE,,MORTON,PA,19070.0,"415 BALTIMORE PIKE, MORTON, PA, 19070",39.9177693,-75.3956985,8:00 PM,THURSDAY,,,,,,,,QUIZZO
TONELLI'S,"PIZZERIA,BAR",,,278 EASTON RD,,HORSHAM,PA,19044.0,"278 EASTON RD, HORSHAM, PA, 19044",40.1770278,-75.128112,7:00 PM,TUESDAY,,,,,,,,QUIZZO
NICK'S ROAST BEEF WOODHAVEN,RESTAURANT,,PARKWOOD,4501 WOODHAVEN RD,,PHILADELPHIA,PA,19154.0,"4501 WOODHAVEN RD, PHILADELPHIA, PA, 19154",40.0964963,-74.9833713,8:00 PM,THURSDAY,,,,,,,,QUIZZO
