BUSINESS,TIME,WEEKDAY,NEIGHBORHOOD,ADDRESS_STREET,ADDRESS_UNIT,ADDRESS_CITY,ADDRESS_STATE,ADDRESS_ZIP,PRIZE_1_TYPE,PRIZE_1_AMOUNT,PRIZE_2_TYPE,PRIZE_2_AMOUNT,PRIZE_3_TYPE,PRIZE_3_AMOUNT,HOST,EVENT_TYPE
HENRY JAMES SALOON,7:00 PM,,ROXBOROUGH,577 E JAMESTOWN ST.,,PHILADELPHIA,PA,19128.0,,,,,,,TRIVIAMONTY,
FRINGE ARTS,7:00 PM,,OLD CITY,,,,,,,,,,,,JGT QUIZZO,
NATIONAL MECHANICS,8:00 PM,,OLD CITY,22 S 3RD STREET,,,,,,,,,,,THE PHILLY QUIZZO,
MAC'S TAVERN,8:00 PM,,OLD CITY,,,,,,,,,,,,,
THE SHIPYARD BAR,7:00 PM,,PORT RICHMOND,2537 E ONTARIO ST,,PHILADELPHIA,PA,19134.0,GIFT_CARD,$50 GC,,,,,ELI'S QUIZZO REVIVAL ,
NUT HUT SALOON,8:00 PM,,FISHTOWN,,,,,,,,,,,,,
NEW DECK TAVERN,8:00 PM,,UNIVERSITY CITY,3408 SANSOM ST,,PHILADELPHIA,PA,19104.0,,,,,,,,
LOVE CITY BREWING,8:00 PM,,CALLOWHILL,1023 HAMILTON ST,,PHILADELPHIA,PA,19123.0,,,,,,,WILL WALKER,O
THE INTERNATIONAL,7:00 PM,,FISHTOWN,1624 N FRONT ST,,PHILADELPHIA,PA,19122.0,,,,,,,MIKEV_EE,
GRACE TAVERN ,7:30 PM,,GRADUATE HOSPITAL,2229 GRAYS FERRY AVE,,PHILADELPHIA,PA,19146.0,,,,,,,,
WISSAHICKON BREWING COMPANY,7:30 PM,,EAST FALLS,3705 W SCHOOL HOUSE LN,,PHILADELPHIA,PA,19129.0,,,,,,,SEAN MAGUIRE,
STIR LOUNGE,7:30 PM,,CENTER CITY,,,,,,,,,,,,ANYA HEART,
PIZZATA BIRRERIA,8:15 PM,,E PASSYUNK,,,,,,,,,,,,JOHNNY GOODTIMES,
FERGIE'S PUB,8:00 PM,,CENTER CITY,1214 SANSOM ST,,PHILADELPHIA,PA,19107.0,GIFT_CARD,$50,,$25,,,JAWNYQ,
HILLTOWN TAVERN (ROXBOROUGH),7:00:00 PM,,ROXBOROUGH,,,,,,,,,,,,,
HILLTOWN TAVERN (FAIRMOUNT),8:00 PM,,FAIRMOUNT,795 N 24TH ST,,PHILADELPHIA,PA,19130.0,GIFT_CARD,MUSIC,,,,,HTOTHEQUIZZO,MUSIC
LIBERTEE GROUNDS,7:00 PM,,FAIRMOUNT/ FRANCISVILLE,1600 W GIRARD AVE SUITE C5,,PHILADELPHIA,PA,19130.0,,,,,,,,
DAHLAK,6:30 PM,,WEST PHILLY,,,,,,,,,,,,,
DELI AT DWELL,7:00 PM,,FISHTOWN,1301 N AMERICAN ST,,PHILADELPHIA,PA,19122.0,,,,,,,JOHNNY GOODTIMES,
BRIDGET FOY'S,7:00 PM,,SOCIETY HILL,,,,,,,,,,,,,
TOP GOLF,6:30 PM,,NE PHILADELPHIA,,,,,,,,,,,,GEEKS WHO DRINK,
WOLF BURGER,7:00 PM,,SOUTH PHILLY,,,,,,,,,,,,MEL HARRIS,
ANNEX LOUNGE,7:00 PM,,FAIRMOUNT,,,,,,,,,,,,,
MEYERS BREWING,7:30 PM,,FISHTOWN,436 E GIRARD AVE,,PHILADELPHIA,PA,19125.0,,,,,,,,
URBAN VILLAGE,8:00 PM,,NORTHERN LIBERTIES,1001 N 2ND ST,,PHILADELPHIA,PA,19123.0,GIFT_CARD,GC: $40,, $25,, $10,,
ADOBE,8:00 PM,,BELLA VISTA,736 S 8TH ST,,PHILADELPHIA,PA,19147.0,,,,,,,,
QUEEN & ROOK GAME CAFE,7:00 PM,,SOUTH PHILADELPHIA,607 S 2ND ST,,PHILADELPHIA,PA,19147.0,,,,,,,,
MIFFLIN TAVERN,7:00 PM,,PENNSPORT,,,,,,,,,,,,,
MIFFLIN TAVERN,7:00 PM,,PENNSPORT,,,,,,,,,,,,,
NICK'S ROAST BEEF WOODHAVEN,8:00 PM,,PARKWOOD,4501 WOODHAVEN RD,,PHILADELPHIA,PA,19154.0,,,,,,,,
CARTESIAN BREWING,7:00 PM,,SOUTH PHILADELPHIA,,,,,,,,,,,,TRIVIA MONTY,
MANYUNK BREWING CO,8:30 PM,,MANAYUNK,,,,,,,,,,,,@QUIZZOBYSEAN,
SIDE CAR BAR,8:00 PM,,GRAD HOSPITAL,,,,,,,,,,,,3WAYQUIZZO,
LOCAL 44,10:00 PM,,WEST PHILLY,,,,,,,,,,,,,
LANDMARK AMERICANA,7:00 PM,,"GLASSBORO, NJ",,,,,,GIFT_CARD,X,,,,,,
BORDENTOWN SQUARE,8:00 PM,,"BORDENTOWN, NJ",,,,,,,,,,,,QUIZZOHOLICS,
HURRICANE JACKS,7:00 PM,,LEVITTOWN,,,,,,,,,,,,IN THE MIX BAR SCENE,
SCHILEEN'S IRISH PUB,8:00 PM,,"WESTVILLE, NJ",,,,,,,,,,,,THE QUIZ KIDS,
LANSDALE TAVERN ,7:30 PM,,LANSDALE,,,,,,GIFT_CARD,X,,,,,,
IRON ABBEY,7:00 PM,,,,,,,,,,,,,,IN THE MIX,
FIRESIDE,8:00 PM,,,,,,,,,,,,,,IN THE MIX,
DEAL LAKE BAR CO,7:00 PM,,,,,,,,,,,,,,,
BATTLE RIVER BREWING,7:30 PM,,,,,,,,,,,,,,,
VAULT BREWING,7:00 PM,,YARDLEY,,,,,,,,,,,,LUNCH MONEY QUIZZO,
CURRAN'S BENSALEM,7:30 PM,,BENSALEM,1909 BRISTOL PIKE,,BENSALEM,PA,19020.0,,,,,,,LUNCH MONEY QUIZZO,
PJ WHELIHANS,7:00 PM,,CONSHOHOCKEN,,,,,,,,,,,,THE QUIZZO GUYS,
LOCK 29,7:00 PM,,MONT CLARE,,,,,,,,,,,,,
KILDARES,9:00 PM,,WEST CHESTER,,,,,,,,,,,,,
GRID IRON PHX,7:00 PM,,PHOENIXVILLE,,,,,,,,,,,,,
WORLD OF BEER EXTON,7:00 PM,,EXTON,EXTON,,,,,,,,,,,,
PJ'S PUB HADDON TWP,7:00 PM,,"HADDON TWP, NJ",,,,,,,,,,,,,
SHEEBEN PUB,7:00 PM,,MEDIA,,,,,,,,,,,,MICHAEL BARLOW,
SALOON 151,8:00 PM,,WEST CHESTER,,,,,,,,,,,,DJ ROMEO,
DOLAN'S BAR RIDLEY PARK,8:00 PM,,RIDLEY PARK,24 E SELLERS AVE,,RIDLEY PARK,PA,19078.0,,,,,,,,
GAUL AND CO ROCKLEDGE,8:00 PM,,ROCKLEDGE,ROCKLEDGE,,,,,,,,,,,,
SLIGO,8:00 PM,,MEDIA,,,,,,,,,,,,,
OLD ORIGINAL NICK'S ROAST BEEF,8:00 PM,,SPRINGFIELD,,,,,,,,,,,,,
FOUNDING FATHERS,7:30 PM,,BENSALEM,,,,,,,,,,,,,
OAKLYN MANOR BAR,7:00 PM,,OAKLYN NJ,,,,,,,,,,,,THE QUIZ KIDS,
MIDNIGHT OIL ,7:00 PM,,"NEWARK, DE",,,,,,,,,,,,,
NAKED BREWING,7:00 PM,,BRISTOL,,,,,,,,,,,,,
RIVALS,7:00 PM,,EASTON,,,,,,,,,,,,,
THE VILLAGE PUB,7:00 PM,,SWEDESBORO,,,,,,,,,,,,,
TONELLI'S,7:00 PM,,HORSHAM,,,,,,,,,,,,,
DUFFERS MILL ,7:00 PM,,BOOTHWYN,1600 NAAMANS CREEK RD,,BOOTHWYN,PA,19061.0,GIFT_CARD,$25 GC,,,,,THOMPSON ENT,
PJ WHEILAN'S WEST CHESTER,7:45 PM,,WEST CHESTER,,,,,,,,,,,,THOMPSON ENT,
PJ WHEILAN'S HORSHAM,8:00 PM,,HORSHAM,,,,,,,,,,,,THE QUIZZO GUYS,
RAMS PIZZA,8:00 PM,,CLIFTON HEIGHTS,,,,,,,,,,,,,
NORTH PENN SOCIAL CLUB,7:30 PM,,NORTH WALES,,,,,,,,,,,,THE QUIZZO GUYS,
CHAR AND STAVE,7:00 PM,,ARDMORE,,,,,,,,,,,,,
PJ WHEILAN'S NEWTOWN SP,7:30 PM,,NEWTOWN SP,,,,,,,,,,,,DJMUVE,
WORKHORSE,6:30 PM,,KOP,,,,,,,,,,,,,
EAST BRANCH BREWING CO,7:00 PM,,DOWNINGTOWN,,,,,,GIFT_CARD,$30 GC,,,,,,
GREAT AMERICAN PUB,8:00 PM,,CONSHOHOCKEN,123 FAYETTE ST,,CONSHOHOCKEN,PA,19428.0,,,,,,,DJ GADGET,
GREAT AMERICAN PUB,8:00 PM,,WAYNE,,,,,,,,,,,,,
AXE AND ARROW BREWING,7:00 PM,,GLASSBORO NJ,,,,,,,,,,,,TRIVIAME,
BALD BIRDS BREWING,7:00 PM,,AUDUBON,,,,,,,,,,,,,
JARRETTOWN HOTEL,7:00 PM,,DRESHER,,,,,,,,,,,,@INTHEMIXBARSCENE,
BARNABY'S WEST CHESTER,7:30 & 10 PM,,WEST CHESTER,,,,,,,,,,,,MR QUIZZO,
OWEN'S PUB,8:00 PM,,WILDWOOD,WILDWOOD,,,,,,,,,,,MIKEY D,O
TAPHOUSE 23,7:00 PM,,BRIDGEPORT,,,,,,,,,,,,IN THE MIX ,
BROKEN GOBLET BREWING,800 PM,,BENSALEM,2500 STATE ROAD,,ANDALUSIA,PA,19120.0,,,,,,,RIGHTEOUS JOLLY,
TANNERY RUN,7:00 PM,,AMBLER,,,,,,,,,,,,,
TIME OUT,7:00 PM,,HUNTINGDON VALLEY,,,,,,,,,,,,,
PJ WHEILAN'S OAKS,8:30 PM,,OAKS,,,,,,,,,,,,THE QUIZZO GUYS,
PJ WHEILAN'S BLUEBELL,7:30 PM,,BLUEBELL,,,,,,,,,,,,THE QUIZZO GUYS,
PJ WHEILAN'S HATFIELD,8:00 PM,,HATFIELD,,,,,,,,,,,,THE QUIZZO GUYS,
PJ WHEILAN'S MAPLE SHADE,7:00 PM,,"MAPLE SHADE, NJ",,,,,,,,,,,,THE QUIZ KIDS,
FREE WILL BREWING,7:00 PM,,PERKASIE,,,,,,,,,,,,THE QUIZZO GUYS,
SIDE BAR,8:00 PM,,WEST CHESTER,,,,,,,,,,,,MIKE ARGY,
BOBBY RAY'S PENNSAUKEN TAVERN,7:00 PM,,PENNSAUKEN,,,,,,,,,,,,THE QUIZ KIDS,
ANIMATED BREWING,7:00 PM,,COATESVILLE,,,,,,,,,,,,,
STATE STREET PUB,9:00 PM,,MEDIA,,,,,,,,,,,,,
DUFFERS TAVERN,7:30 PM,,GLEN MILLS,192 MIDDLETOWN RD,,,,,,,,,,,THOMPSON ENT ,
GRID IRON,7:45 PM,,ASTON,,,,,,,,,,,,THOMPSON ENT ,
STABLE 12 ,7:00 PM,,PHOENIXVILLE,368 BRIDGE STREET,,PHOENIXVILLE,PA,19460.0,,,,,,,,
STOLEN SUN BREWING AND ROASTING,6:30 PM,,EXTON,,,,,,,,,,,,SHAMUS HALLORAN,
SHADY BROOK FARM,7:00 PM,,YARDLEY,,,,,,,,,,,,EMILY AND JOE,
"FINGERS, WINGS & OTHER THINGS",7:30 PM,,CONSHOHOCKEN,107 W RIDGE PIKE,,CONSHOHOCKEN,PA,19428.0,,,,,,,,
VON C BREWING,7:00 PM,,NORRISTOWN,,,,,,,,,,,,MIKE ARGY,
HUNT'S ANNEX,8:00 PM,,WOODLYN,1311 MACDADE BLVD,,WOODLYN,PA,19094.0,,,,,,,,
RYAN'S PUB,8:30 PM,,WEST CHESTER,,,,,,,,,,,,MR QUIZZO,
JD MCGILLICUDDY'S ,8:00 PM,,BROOKLINE,,,,,,,,,,,,MUVE,
LOWER FORGE BREWING,7:00 PM,,"MEDFORD, NJ",,,,,,,,,,,,,
MANATAWNY STILLWORKS,8:00 PM,,ARDMORE,,,,,,,,,,,,@PHILLYQUIZZO,
VILLIAGE IDIOT,7:00 PM,,"PENNSAUKEN, NJ",,,,,,,,,,,,THE QUIZ KIDS,
5 WEST ,7:00 PM,,"PALMYRA, NJ",,,,,,,,,,,,THE QUIZ KIDS,
LUNACY ,7:00 PM,,"HADDONFIELD, NJ",,,,,,,,,,,,,
MECHANICAL BREWING,6:30 PM,,"CHERRY HILL, NJ",,,,,,,,,,,,,
WELL CRAFTED,7:30 PM,,AMBLER,,,,,,,,,,,,,
WEST END,730PM,,QUAKERTOWN,,,,,,,,,,,,,
PAPPOUS PIZZA PUB,8:00 PM,,MORTON,415 BALTIMORE PIKE,,MORTON,PA,19070.0,,,,,,,,
HUMAN ROBOT JENKINTOWN,7:00 PM,,JENKINTOWN,,,,,,,,,,,,,
STICKMAN BREWS,7:00 PM,,ROYERSFORD,,,,,,,,,,,,,
HAZY'S,8:00 PM,,,,,,,,,,,,,,,
E HOUSE,7:00 PM,,,,,,,,,,,,,,,
TIMOTHY'S,,,WEST CHESTER,,,,,,,,,,,,THOMPSON ENTERTAINMENT,
39 NORTH,,,GLENOLDEN,,,,,,,,,,,,THOMPSON ENTERTAINMENT,
DUFFERS MILL,7:00 PM,,BOOTHWYN,,,,,,GIFT_CARD,MUSIC,,,,,THOMPSON ENTERTAINMENT,
BLUEPRINT,7:30 PM,,HARLEYSVILLE,,,,,,,,,,,,THE QUIZZO GUYS,
SEPARATIST BEER,8:00 PM,,EASTON,,,,,,,,,,,,MFROME8,
PIZZA TIME,8:00 PM,,WEST POINT,,,,,,,,,,,,THE QUIZZO GUYS,
NESHAMINY CREEK BREWING DUBLIN,7:00 PM,,DUBLIN,,,,,,,,,,,,LUNCH MONEY QUIZZO,
NESHAMINY BREWING,7:05 PM,,CROYDON,,,,,,,,,,,,LUNCH MONEY QUIZZO,
RACK'S PUB,7:30 PM,,WILLIAMSTOWN NJ,,,,,,,,,,,,,O
IMPRINT BEER CO,7:00 PM,,HATFIELD,,,,,,,,,,,,LUNCH MONEY QUIZZO,
JOHN HENRY ARDMORE,9:00 PM,,ARDMORE,ARDMORE,,,,,,,,,,,JOHNNY CHEESETEAK,
WORLD OF BEER EXTON,6:30 PM,,EXTON,EXTON,,,,,,,,,,,QUIZZO WITH ALYSSA,
JITTERS,,,WEST CHESTER,,,,,,,,,,,,MR QUIZZO,
