BUSINESS,TIME,WEEKDAY,NEIGHBORHOOD,PRIZE_1_AMOUNT,HOST,Full Address,EVENT_TYPE
FERGIE'S PUB,8:00 PM,THURSDAY,CENTER CITY,"$50,$25",JAWNYQ,"1214 SANSOM ST, PHILADELPHIA, PA 19107",QUIZZO
HILLTOWN TAVERN (ROXBOROUGH),7:00 PM,THURSDAY,ROXBOROUGH,,,"ROXBOROUGH, PHILADELPHIA, PA",QUIZZO
HILLTOWN TAVERN (FAIRMOUNT),8:00 PM,THURSDAY,FAIRMOUNT,MUSIC,HTOTHEQUIZZO,"795 N 24TH ST, PHILADELPHIA, PA 19130",MUSIC_QUIZZO
LIBERTEE GROUNDS,7:00 PM,THURSDAY,FAIRMOUNT/ FRANCISVILLE,,,"1600 W GIRARD AVE SUITE C5, PHILADELPHIA, PA 19130",QUIZZO
DAHLAK,6:30 PM,THURSDAY,WEST PHILLY,,,"WEST PHILLY, PHILADELPHIA, PA",QUIZZO
DELI AT DWELL,7:00 PM,THURSDAY,FISHTOWN,,JOHNNY GOODTIMES,"1301 N AMERICAN ST, PHILADELPHIA, PA 19122",QUIZZO
BRIDGET FOY'S,7:00 PM,THURSDAY,SOCIETY HILL,,,"2ND AND SOUTH ST, PHILADELPHIA, PA",QUIZZO
DOCK STREET BREWING,7:00 PM,THURSDAY,SOUTH PHILADELPHIA,,PHILLYQUIZZO,"SOUTH PHILADELPHIA, PHILADELPHIA, PA",QUIZZO
TOP GOLF,6:30 PM,THURSDAY,NE PHILADELPHIA,,GEEKS WHO DRINK,NORTHEAST PHILADELPHIA,QUIZZO
WOLF BURGER,7:00 PM,THURSDAY,SOUTH PHILLY,,MEL HARRIS,"2301 N FRONT ST, PHILADELPHIA, PA",QUIZZO
ANNEX LOUNGE,7:00 PM,THURSDAY,FAIRMOUNT,,,"DIVINE LORRAINE ON BROAD, PHILADELPHIA, PA",QUIZZO
MEYERS BREWING,7:30 PM,THURSDAY,FISHTOWN,,,"436 E GIRARD AVE, PHILADELPHIA, PA 19125",QUIZZO
URBAN VILLAGE,8:00 PM,THURSDAY,NORTHERN LIBERTIES,"GC: $40, $25, $10",,"1001 N 2ND ST, PHILADELPHIA, PA 19123",QUIZZO
ADOBE,8:00 PM,THURSDAY,BELLA VISTA,,,"736 S 8TH ST, PHILADELPHIA, PA 19147",QUIZZO
QUEEN & ROOK GAME CAFE,7:00 PM,THURSDAY,SOUTH PHILADELPHIA,,,"607 S 2ND ST, PHILADELPHIA, PA 19147",QUIZZO
MIFFLIN TAVERN,7:00 PM,THURSDAY,PENNSPORT,,,"PENNSPORT, PHILADELPHIA, PA",QUIZZO
NICK'S ROAST BEEF WOODHAVEN,8:00 PM,THURSDAY,PARKWOOD,,,"4501 WOODHAVEN RD, PHILADELPHIA, PA 19154",QUIZZO
CARTESIAN BREWING,7:00 PM,THURSDAY,SOUTH PHILADELPHIA,,TRIVIA MONTY,"SOUTH PHILADELPHIA, PHILADELPHIA, PA",QUIZZO
FUTURE DAYS,7:30 PM,THURSDAY,NORTHERN LIBERTIES,MEDALS + FREE ROUND OF  BEER,@GRAND_TRIVIA_NIGHT,"4TH AND FAIRMOUNT AVE, PHILADELPHIA, PA",QUIZZO
