BUSINESS,TIME,WEEKDAY,NEIGHBORHOOD,PRIZE_1_AMOUNT,HOST,Full Address,EVENT_TYPE
TIMOTHY'S,,THURSDAY,WEST CHESTER,,THOMPSON ENTERTAINMENT,"WEST CHESTER, PA",QUIZZO
39 NORTH,,THURSDAY,GLENOLDEN,,THOMPSON ENTERTAINMENT,GLENOLDEN,QUIZZO
DUFFERS MILL,7:00 PM,THURSDAY,BOOTHWYN,MUSIC,THOMPSON ENTERTAINMENT,"BOOTHWYN, PA",QUIZZO
BLUEPRINT,7:30 PM,THURSDAY,HARLEYSVILLE,,THE QUIZZO GUYS,"HARLEYSVILLE, PA",QUIZZO
SEPARATIST BEER,8:00 PM,THURSDAY,EASTON,,MFROME8,"EASTON, PA",QUIZZO
PIZZA TIME,8:00 PM,THURSDAY,WEST POINT,,THE QUIZZO GUYS,"WEST POINT, PA",QUIZZO
NESHAMINY BREWING,7:05 PM,THURSDAY,CROYDON,,LUNCH MONEY QUIZZO,"CROYDON, PA",QUIZZO
RACK'S PUB,7:30 PM,THURSDAY,WILLIAMSTOWN NJ,,,WILLIAMSTOWN NJ,QUIZZO
IMPRINT BEER CO,7:00 PM,THURSDAY,HATFIELD,,LUNCH MONEY QUIZZO,"HATFIELD, PA",QUIZZO
JOHN HENRY ARDMORE,9:00 PM,FRIDAY,ARDMORE,,JOHNNY CHEESETEAK,"ARDMORE, PA",QUIZZO
WORLD OF BEER EXTON,6:30 PM,SUNDAY,EXTON,,QUIZZO WITH ALYSSA,"EXTON, PA",QUIZZO
JITTERS,,SUNDAY,WEST CHESTER,,MR QUIZZO,"WEST CHESTER, PA",QUIZZO
