BUSINESS,BUSINESS_TAGS,TIME,WEEKDAY,OCCURRENCE_TYPES,NEIGHBORHOOD,ADDRESS_STREET,ADDRESS_UNIT,ADDRESS_CITY,ADDRESS_STATE,ADDRESS_ZIP,PRIZE_1_TYPE,PRIZE_1_AMOUNT,PRIZE_2_TYPE,PRIZE_2_AMOUNT,PRIZE_3_TYPE,PRIZE_3_AMOUNT,HOST,EVENT_TYPE,Full Address,Latitude,Longitude
PJ WHEILAN'S HORSHAM,"RESTAURANT,BAR",6:30 PM,MONDAY,,,101 EASTON RD,SUITE 300,HORSHAM,PA,19044,,,,,,,THE QUIZZO GUYS,QUIZZO,"101 EASTON RD, SUITE 300, HORSHAM, PA, 19044",40999984,-75.1539136
PJ WHEILAN'S OAKS,"RESTAURANT,BAR",7:00 PM,THURSDAY,,,180 MILL RD,,OAKS,PA,19456,,,,,,,THE QUIZZO GUYS,QUIZZO,"180 MILL RD, OAKS, PA, 19456",40.1292868,-75.4530876
JERRY'S BAR,"RESTAURANT,BAR",8:00 PM,TUESDAY,,NORTHERN LIBERTIES,129 W LAUREL ST,,PHILADELPHIA,PA,19123,GIFT_CARD,50,,,,,THEPHILLYQUIZZO,QUIZZO,"129 W LAUREL ST, PHILADELPHIA, PA, 19123",39.9651497,-75.1388845
DUFFERS MILL,"RESTAURANT,BAR",8:30 PM,TUESDAY,,,1600 NAAMANS CREEK RD,,BOOTHWYN,PA,19061,GIFT_CARD,25,,,,,THOMPSON ENT,QUIZZO,"1600 NAAMANS CREEK RD, BOOTHWYN, PA, 19061",39.8215115,-75.4483078
PJ WHEILAN'S WEST CHESTER,"RESTAURANT,BAR",8:00 PM,THURSDAY,,,1347 WILMINGTON PIKE,,WEST CHESTER,PA,19382,,,,,,,THOMPSON ENT,QUIZZO,"1347 WILMINGTON PIKE, WEST CHESTER, PA, 19382",39.903188,-75.5643383
DUFFERS TAVERN,"RESTAURANT,BAR",7:30 PM,WEDNESDAY,,,192 MIDDLETOWN RD,,GLEN MILLS,PA,19342,,,,,,,THOMPSON ENT,QUIZZO,"192 MIDDLETOWN RD, GLEN MILLS, PA, 19342",39.947112,-75.5056866
DUFFERS MILL,"RESTAURANT,BAR",8:00 PM,TUESDAY,,,1601 NAAMANS CREEK RD,,BOOTHWYN,PA,19061,,,,,,,THOMPSON ENTERTAINMENT,QUIZZO,"1601 NAAMANS CREEK RD, BOOTHWYN, PA, 19061",39.8216887,-75.447506
BLACK TAXI,"RESTAURANT,BAR",8:30 PM,WEDNESDAY,,FAIRMOUNT,745 N 25TH ST,,PHILADELPHIA,PA,19130,,,,,,,TIM STEPHENS,QUIZZO,"745 N 25TH ST, PHILADELPHIA, PA, 19130",39.9687403,-75.1781976
HENRY JAMES SALOON,"RESTAURANT,BAR",8:00 PM,THURSDAY,,ROXBOROUGH,577 JAMESTOWN AVE.,,PHILADELPHIA,PA,19128,,,,,,,TRIVIA MONTY,QUIZZO,"577 JAMESTOWN AVE., PHILADELPHIA, PA, 19128",40292087,-75.2066644
THE POST,"RESTAURANT,BAR",7:00 PM,TUESDAY,,UNIVERSITY CITY,129 S 30TH ST,,PHILADELPHIA,PA,19104,,,,,,,,QUIZZO,"129 S 30TH ST, PHILADELPHIA, PA, 19104",39.952754,-75.1837133
MILKBOY SOUTH STREET,"RESTAURANT,BAR",7:00 PM,TUESDAY,,SOUTH STREET,401 SOUTH ST,,PHILADELPHIA,PA,19147,,,,,,,,QUIZZO,"401 SOUTH ST, PHILADELPHIA, PA, 19147",39.9417025,-75.1492453
SOUTHHOUSE,"RESTAURANT,BAR",7:00 PM,THURSDAY,LAST_OF_MONTH,SOUTH PHILADELPHIA,2535 S 13TH ST,,PHILADELPHIA,PA,19148,,,,,,,,QUIZZO,"2535 S 13TH ST, PHILADELPHIA, PA, 19148",39.9180097,-75.1687215
BONK'S BAR,"RESTAURANT,BAR",7:45 PM,TUESDAY,,PORT RICHMOND,3467 RICHMOND ST,,PHILADELPHIA,PA,19134,,,,,,,,QUIZZO,"3467 RICHMOND ST, PHILADELPHIA, PA, 19134",39.9862867,-75948654
COOK AND SHAKER,"RESTAURANT,BAR",7:30 PM,WEDNESDAY,,PORT RICHMOND,2301 E ALBERT ST,,PHILADELPHIA,PA,19125,,,,,,,,QUIZZO,"2301 E ALBERT ST, PHILADELPHIA, PA, 19125",39.9826346,-75.1205457
MIFFLIN TAVERN,"RESTAURANT,BAR",7:45 PM,WEDNESDAY,,PENNSPORT,1843 S 2ND ST,,PHILADELPHIA,PA,19148,,,,,,,,QUIZZO,"1843 S 2ND ST, PHILADELPHIA, PA, 19148",39.924378,-75.1498531
NITTY'S TAVERN,"RESTAURANT,BAR",7:00 PM,THURSDAY,,PASSYUNK,1720 W MOYAMENSING AVE,,PHILADELPHIA,PA,19145,,,,,,,,QUIZZO,"1720 W MOYAMENSING AVE, PHILADELPHIA, PA, 19145",39.9149475,-75.1767931
STOGIE JOE'S,"RESTAURANT,BAR",7:00 PM,WEDNESDAY,,NEWBOLD,1721 S CHADWICK ST,,PHILADELPHIA,PA,19145,CASH,100,GIFT_CARD,50,GIFT_CARD,25,,QUIZZO,"1721 S CHADWICK ST, PHILADELPHIA, PA, 19145",39.9293336,-75.1729067
MOUNT AIRY TAP ROOM,"RESTAURANT,BAR",7:00 PM,TUESDAY,,MOUNT AIRY,300 W MT PLEASANT AVE,,PHILADELPHIA,PA,19119,GIFT_CARD,50,GIFT_CARD,30,,,,QUIZZO,"300 W MT PLEASANT AVE, PHILADELPHIA, PA, 19119",40539139,-75.194211
JD MCGILLICUDY'S,"RESTAURANT,BAR",7:00 PM,MONDAY,,MANAYUNK,111 COTTON ST,,PHILADELPHIA,PA,19127,,,,,,,,QUIZZO,"111 COTTON ST, PHILADELPHIA, PA, 19127",40255381,-75.2221784
DAWSON STREET PUB,"RESTAURANT,BAR",7:30 PM,WEDNESDAY,,MANAYUNK,100 DAWSON ST,,PHILADELPHIA,PA,19127,,,,,,,,QUIZZO,"100 DAWSON ST, PHILADELPHIA, PA, 19127",40185783,-75.212803
