BUSINESS,BUSINESS_TAGS,TIME,WEEKDAY,OCCURRENCE_TYPES,NEIGHBORHOOD,ADDRESS_STREET,ADDRESS_UNIT,ADDRESS_CITY,ADDRESS_STATE,ADDRESS_ZIP,PRIZE_1_TYPE,PRIZE_1_AMOUNT,PRIZE_2_TYPE,PRIZE_2_AMOUNT,PRIZE_3_TYPE,PRIZE_3_AMOUNT,HOST,EVENT_TYPE,Full Address,Latitude,Longitude
QUEEN & ROOK GAME CAFE,"RESTAURANT,BAR,BOARD_GAMES",8:00 PM,TUESDAY,,SOUTH PHILADELPHIA,607 S 2ND ST,,PHILADELPHIA,PA,19147,,,,,,,,QUIZZO,"607 S 2ND ST, PHILADELPHIA, PA, 19147",39.9408759,-75.145524
TABU,"RESTAURANT,BAR,GAY_BAR",9:00 PM,WEDNESDAY,,GAYBORHOOD,254 S 12TH ST,,PHILADELPHIA,PA,19107,,,,,,,AURORA WHOREALIS,QUIZZO,"254 S 12TH ST, PHILADELPHIA, PA, 19107",39.9470604,-75.1612067
LIBERTEE GROUNDS,"RESTAURANT,BAR,GOLF",7:00 PM,TUESDAY,,FRANCISVILLE,1600 W GIRARD AVE,SUITE C5,PHILADELPHIA,PA,19130,,,,,,,,QUIZZO,"1600 W GIRARD AVE, SUITE C5, PHILADELPHIA, PA, 19130",39.9716394,-75.1635676
FERGIE'S PUB,"RESTAURANT,BAR,IRISH_PUB",730PM,THURSDAY,,GAYBORHOOD,1214 SANSOM ST,,PHILADELPHIA,PA,19107,CASH,50,CASH,25,,,JAWNYQ,QUIZZO,"1214 SANSOM ST, PHILADELPHIA, PA, 19107",39.9496126,-75.1611568
FERGIE'S PUB,"RESTAURANT,BAR,IRISH_PUB",7:00 PM,TUESDAY,,GAYBORHOOD,1214 SANSOM ST,,PHILADELPHIA,PA,19107,CASH,50,CASH,25,,,JAWNYQ,QUIZZO,"1214 SANSOM ST, PHILADELPHIA, PA, 19107",39.9496126,-75.1611568
TIR NA NOG,"RESTAURANT,BAR,IRISH_PUB",8:00 PM,WEDNESDAY,,CENTER CITY,1600 ARCH ST,,PHILADELPHIA,PA,19103,,,,,,,KARLY MOON,QUIZZO,"1600 ARCH ST, PHILADELPHIA, PA, 19103",39.9544332,-75.1667563
CURRAN'S BENSALEM,"RESTAURANT,BAR,IRISH_PUB",6:30 PM,THURSDAY,,,1909 BRISTOL PIKE,,BENSALEM,PA,19020,,,,,,,LUNCH MONEY QUIZZO,QUIZZO,"1909 BRISTOL PIKE, BENSALEM, PA, 19020",40759674,-74.9544073
NEW DECK TAVERN,"RESTAURANT,BAR,IRISH_PUB",7:30 PM,THURSDAY,,UNIVERSITY CITY,3408 SANSOM ST,,PHILADELPHIA,PA,19104,,,,,,,,QUIZZO,"3408 SANSOM ST, PHILADELPHIA, PA, 19104",39.9534633,-75.1925739
THE BLACK SHEEP,"RESTAURANT,BAR,IRISH_PUB",7:00 PM,THURSDAY,,RITTENHOUSE SQUARE,247 S 17TH ST,,PHILADELPHIA,PA,19103,,,,,,,,QUIZZO,"247 S 17TH ST, PHILADELPHIA, PA, 19103",39.948411,-75.169315
KELLIANN'S BAR AND GRILL,"RESTAURANT,BAR,IRISH_PUB",6:30 PM,WEDNESDAY,,FAIRMOUNT,1549 SPRING GARDEN STREET,,PHILADELPHIA,PA,19130,,,,,,,,QUIZZO,"1549 SPRING GARDEN STREET, PHILADELPHIA, PA, 19130",39.9630257,-75.1645107
DOLAN'S BAR RIDLEY PARK,"RESTAURANT,BAR,IRISH_PUB",7:00 PM,TUESDAY,,,24 E SELLERS AVE,,RIDLEY PARK,PA,19078,,,,,,,,QUIZZO,"24 E SELLERS AVE, RIDLEY PARK, PA, 19078",39.878297,-75.3225637
KILDARES,"RESTAURANT,BAR,IRISH_PUB",8:00 PM,WEDNESDAY,,,18 W GAY ST,,WEST CHESTER,PA,19380,,,,,,,,QUIZZO,"18 W GAY ST, WEST CHESTER, PA, 19380",39.9600573,-75.6054734
TOP TOMATO,"RESTAURANT,BAR,PIZZERIA",8:00 PM,THURSDAY,,GAYBORHOOD,116 S 11TH ST,,PHILADELPHIA,PA,19107,,,,,,,,QUIZZO,"116 S 11TH ST, PHILADELPHIA, PA, 19107",39.9495956,-75.1589687
CHAR AND STAVE,"ROASTERY,DISTILLERY",7:00 PM,THURSDAY,,,21 RITTENHOUSE PL,,ARDMORE,PA,19003,,,,,,,,QUIZZO,"21 RITTENHOUSE PL, ARDMORE, PA, 19003",40064016,-75.2896044
CITY WINERY,WINERY,8:00 PM,TUESDAY,LAST_OF_MONTH,CENTER CITY,990 FILBERT ST,,PHILADELPHIA,PA,19107,,,,,,,,QUIZZO,"990 FILBERT ST, PHILADELPHIA, PA, 19107",39.9522713,-75.156091
THE PLOUGH,"RESTAURANT,BAR",7:30 PM,MONDAY,,OLD CITY,,,PHILADELPHIA,PA,,,,,,,,,QUIZZO,"OLD CITY, PHILADELPHIA, PA",,
CEDAR POINT,"RESTAURANT,BAR",7:00 PM,MONDAY,,FISHTOWN,,,PHILADELPHIA,PA,,,,,,,,THE PHILLY QUIZZO,QUIZZO,"FISHTOWN, PHILADELPHIA, PA",,
PROHIBITION TAPROOM,"RESTAURANT,BAR",8:00 PM,MONDAY,,CALLOWHILL,,,PHILADELPHIA,PA,,,,,,,,@H_TO_THE_QUIZZO,QUIZZO,"CALLOWHILL, PHILADELPHIA, PA",39.96131,-75.15929
OUR TOWN TAPROOM,"RESTAURANT,BAR",7:00 PM,TUESDAYS,,FRANCISVILLE,,,PHILADELPHIA,PA,,GIFT_CARD,25,,,,,,QUIZZO,"FRANCISVILLE, PHILADELPHIA, PA",,
BOTTLE BAR,"RESTAURANT,BAR",7:00 PM,TUESDAY,,FISHTOWN,,,PHILADELPHIA,PA,,,,,,,,LUNCHMONEYQUIZZO,QUIZZO,"FISHTOWN, PHILADELPHIA, PA",,
THE GREEN ROOM,"RESTAURANT,BAR",8:00 PM,TUESDAY,,FAIRMOUNT,,,PHILADELPHIA,PA,,,,,,,,,QUIZZO,"FAIRMOUNT, PHILADELPHIA, PA",,
ORTLIEB'S,"RESTAURANT,BAR",9:00 PM,TUESDAY,,NORTHERN LIBERTIES,847 N 3RD STREET,,PHILADELPHIA,PA,,,,,,,,@MINDBENDERTRIVIA,QUIZZO,"847 N 3RD STREET, PHILADELPHIA, PA",39.96455258,-75.14245127
THE BRASS TAP,"RESTAURANT,BAR",8:00 PM,TUESDAY,,MANAYUNK,,,PHILADELPHIA,PA,,,,,,,,,QUIZZO,"MANAYUNK, PHILADELPHIA, PA",,
ATTIC BREWING,"RESTAURANT,BAR",7:00 PM,TUESDAY,,MOUNT AIRY,,,PHILADELPHIA,PA,,,,,,,,@PHILLYQUIZZO,QUIZZO,"MOUNT AIRY, PHILADELPHIA, PA",,
BONNER'S IRISH PUB,"RESTAURANT,BAR",7:00 PM,TUESDAY,,FITLER SQUARE,,,PHILADELPHIA,PA,,,,,,,,JOEY C,QUIZZO,"FITLER SQUARE, PHILADELPHIA, PA",,
GAUL & CO MALT HOUSE,"RESTAURANT,BAR",7:00 PM,TUESDAY,,PORT RICHMOND,2619 E INDIANA AVE,,PHILADELPHIA,PA,,,,,,,,SEALYONS86,QUIZZO,"2619 E INDIANA AVE, PHILADELPHIA, PA",,
BAR PALMINA (NA),"RESTAURANT,BAR",7:00 PM,TUESDAY,,FISHTWON,,,PHILADELPHIA,PA,,,,,,,,@WHIZWITTRIVIA,QUIZZO,"FISHTWON, PHILADELPHIA, PA",,
GARAGE FISHTOWN,"RESTAURANT,BAR",7:00 PM,TUESDAY,,FISHTOWN,FRANKFORD AND GIRARD,,PHILADELPHIA,PA,,,,,,,,LUNCHMONEYQUIZZO,QUIZZO,"FRANKFORD AND GIRARD, PHILADELPHIA, PA",,
POPE (PUB ON PASSYUNK EAST),"RESTAURANT,BAR",7:00 PM,TUESDAY,,EAST PASSYUNK,,,PHILADELPHIA,PA,,,,,,,,@LATCHKEYRECORDS,QUIZZO,"EAST PASSYUNK, PHILADELPHIA, PA",,
MOONSHINE,"RESTAURANT,BAR",8:00 PM,TUESDAY,,SOUTH PHILLY,,,PHILADELPHIA,PA,,,,,,,,KEVIN,QUIZZO,"SOUTH PHILLY, PHILADELPHIA, PA",,
BOURBON AND BRANCH,"RESTAURANT,BAR",8:00 PM,TUESDAY,,NORTHERN LIBERTIES,2ND STREET,,PHILADELPHIA,PA,,,,,,,,,QUIZZO,"2ND STREET, PHILADELPHIA, PA",,
PHILADELPHIA BREWING CO,"RESTAURANT,BAR",7:30 PM,TUESDAY,,EAST KENSINGTON,FRANKFORD AVE,,PHILADELPHIA,PA,,,,,,,,BARRETT,QUIZZO,"FRANKFORD AVE, PHILADELPHIA, PA",,
NUTMEG NA BAR,"RESTAURANT,BAR",7:30 PM,WEDNESDAY,,EAST PASSYUNK,1835 E PASSYUNK AVE,,PHILADELPHIA,PA,,,,,,,,,QUIZZO,"1835 E PASSYUNK AVE, PHILADELPHIA, PA",,
TRIPLE BOTTOM,"RESTAURANT,BAR",6:00 PM,WEDNESDAY,,SPRING ARTS,SPRING GARDEN STREET,,PHILADELPHIA,PA,,,,,,,,@PHILLYQUIZZO,QUIZZO,"SPRING GARDEN STREET, PHILADELPHIA, PA",,
HUMBLE PARLOR,"RESTAURANT,BAR",7:30 PM,WEDNESDAY,,FISHTOWN,EAST GIRARD AVE,,PHILADELPHIA,PA,,,,,,,,ANXIOUSMILLENIAL QUIZZO AND JUNK DRAWER QUIZZO,QUIZZO,"EAST GIRARD AVE, PHILADELPHIA, PA",,
ATTIC BREWING,"RESTAURANT,BAR",7:00 PM,WEDNESDAY,,,137 BERKLEY ST,,PHILADELPHIA,PA,19144,,,,,,,PHILLYQUIZZO,QUIZZO,"137 BERKLEY ST, PHILADELPHIA, PA 19144",,
O'JUNG'S,"RESTAURANT,BAR",7:00 PM,WEDNESDAY,,PENNSPORT,,,PHILADELPHIA,PA,,,,,,,,SJK MEDIA,QUIZZO,"PENNSPORT, PHILADELPHIA, PA",39.92729132,-75.14883286
TOSKA,"RESTAURANT,BAR",7:00 PM,WEDNESDAY,,MOUNT AIRY,,,PHILADELPHIA,PA,,,,,,,,KARLYMOONTRIVIA,QUIZZO,"MOUNT AIRY, PHILADELPHIA, PA",,
FRINGE ARTS,"RESTAURANT,BAR",7:00 PM,,,OLD CITY,,,PHILADELPHIA,PA,,,,,,,,JGT QUIZZO,QUIZZO,"OLD CITY, PHILADELPHIA, PA",,
NUT HUT SALOON,"RESTAURANT,BAR",8:00 PM,WEDNESDAY,,FISHTOWN,FRANKFORD AVE,,PHILADELPHIA,PA,,,,,,,,,QUIZZO,"FRANKFORD AVE, PHILADELPHIA, PA",,
STIR LOUNGE,"RESTAURANT,BAR",7:30 PM,THURSDAY,,CENTER CITY,17TH AND CHANCELLOR,,PHILADELPHIA,PA,,,,,,,,ANYA HEART,QUIZZO,"17TH AND CHANCELLOR, PHILADELPHIA, PA",,
PIZZATA BIRRERIA,"RESTAURANT,BAR",8:15 PM,THURSDAY,,EAST PASSYUNK,,,PHILADELPHIA,PA,,,,,,,,JOHNNY GOODTIMES,QUIZZO,"EAST PASSYUNK, PHILADELPHIA, PA",,
HILLTOWN TAVERN (ROXBOROUGH),"RESTAURANT,BAR",7:00 PM,THURSDAY,,ROXBOROUGH,,,PHILADELPHIA,PA,,,,,,,,,QUIZZO,"ROXBOROUGH, PHILADELPHIA, PA",,
BRIDGET FOY'S,"RESTAURANT,BAR",7:00 PM,THURSDAY,,SOCIETY HILL,2ND AND SOUTH ST,,PHILADELPHIA,PA,,,,,,,,,QUIZZO,"2ND AND SOUTH ST, PHILADELPHIA, PA",39.941137,-75.145962
DOCK STREET BREWING,"RESTAURANT,BAR",7:00 PM,THURSDAY,,SOUTH PHILADELPHIA,,,PHILADELPHIA,PA,,,,,,,,PHILLYQUIZZO,QUIZZO,"SOUTH PHILADELPHIA, PHILADELPHIA, PA",,
WOLF BURGER,"RESTAURANT,BAR",7:00 PM,THURSDAY,,SOUTH PHILLY,2301 N FRONT ST,,PHILADELPHIA,PA,,,,,,,,MEL HARRIS,QUIZZO,"2301 N FRONT ST, PHILADELPHIA, PA",39.98494367151685,-75.13201319204674
ANNEX LOUNGE,"RESTAURANT,BAR",7:00 PM,THURSDAY,,FAIRMOUNT,DIVINE LORRAINE ON BROAD,,PHILADELPHIA,PA,,,,,,,,,QUIZZO,"DIVINE LORRAINE ON BROAD, PHILADELPHIA, PA",39.966892077310646,-75.16007021901595
MEYERS BREWING,"RESTAURANT,BAR",7:30 PM,THURSDAY,,FISHTOWN,436 E GIRARD AVE,,PHILADELPHIA,PA,19125,,,,,,,,QUIZZO,"436 E GIRARD AVE, PHILADELPHIA, PA 19125",39.97043490250386,-75.1291460196579
URBAN VILLAGE,"RESTAURANT,BAR",8:00 PM,THURSDAY,,NORTHERN LIBERTIES,1001 N 2ND ST,,PHILADELPHIA,PA,19123,GIFT_CARD,40,GIFT_CARD,25,GIFT_CARD,10,,QUIZZO,"1001 N 2ND ST, PHILADELPHIA, PA 19123",,
ADOBE,"RESTAURANT,BAR",8:00 PM,THURSDAY,,BELLA VISTA,736 S 8TH ST,,PHILADELPHIA,PA,19147,,,,,,,,QUIZZO,"736 S 8TH ST, PHILADELPHIA, PA 19147",39.94046306689827,-75.15605703437754
FUTURE DAYS,"RESTAURANT,BAR",7:30 PM,THURSDAY,,NORTHERN LIBERTIES,4TH AND FAIRMOUNT AVE,,PHILADELPHIA,PA,,,MEDALS + FREE ROUND OF  BEER,,,,,@GRAND_TRIVIA_NIGHT,QUIZZO,"4TH AND FAIRMOUNT AVE, PHILADELPHIA, PA",,
MANYUNK BREWING CO,"RESTAURANT,BAR",8:30 PM,FRIDAY,,MANAYUNK,,,PHILADELPHIA,PA,,,,,,,,@QUIZZOBYSEAN,QUIZZO,"MANAYUNK, PHILADELPHIA, PA",,
LOCAL 44,"RESTAURANT,BAR",10:00 PM,SUNDAY,,WEST PHILLY,,,PHILADELPHIA,PA,,,,,,,,,QUIZZO,"WEST PHILLY, PHILADELPHIA, PA",39.952821,-75.210442
HURRICANE JACKS,"RESTAURANT,BAR",7:00 PM,MONDAY,,LEVITTOWN,,,LEVITTOWN,PA,,,,,,,,IN THE MIX BAR SCENE,QUIZZO,"LEVITTOWN, PA",,
SCHILEEN'S IRISH PUB,"RESTAURANT,BAR",8:00 PM,MONDAY,,"WESTVILLE, NJ",,,WESTVILLE,NJ,,,,,,,,THE QUIZ KIDS,QUIZZO,WESTVILLE NJ,,
VAULT BREWING,"RESTAURANT,BAR",7:00 PM,MONDAY,,YARDLEY,,,YARDLEY,PA,,,,,,,,LUNCH MONEY QUIZZO,QUIZZO,"YARDLEY, PA",,
PJ WHELIHANS,"RESTAURANT,BAR",7:00 PM,MONDAY,,CONSHOHOCKEN,,,CONSHOHOCKEN,PA,,,,,,,,THE QUIZZO GUYS,QUIZZO,"CONSHOHOCKEN, PA",,
GRID IRON PHX,"RESTAURANT,BAR",7:00 PM,MONDAY,,PHOENIXVILLE,,,PHOENIXVILLE,PA,,,,,,,,,QUIZZO,PHOENIXVILLE PA,,
PJ'S PUB HADDON TWP,"RESTAURANT,BAR",7:00 PM,TUESDAY,,"HADDON TWP, NJ",,,HADDON TWP,NJ,,,,,,,,,QUIZZO,HADDON TWP NJ,,
SHEEBEN PUB,"RESTAURANT,BAR",7:00 PM,TUESDAY,,MEDIA,,,MEDIA,PA,,,,,,,,MICHAEL BARLOW,QUIZZO,"MEDIA, PA",,
SALOON 151,"RESTAURANT,BAR",8:00 PM,TUESDAY,,WEST CHESTER,,,WEST CHESTER,PA,,,,,,,,DJ ROMEO,QUIZZO,"WEST CHESTER, PA",,
GAUL AND CO ROCKLEDGE,"RESTAURANT,BAR",8:00 PM,TUESDAY,,ROCKLEDGE,,,ROCKLEDGE,PA,,,,,,,,,QUIZZO,"ROCKLEDGE, PA",,
KINGS ROAD,"RESTAURANT,BAR",7:00 PM,TUESDAY,,"MEDFORD, NJ",,,MEDFORD,NJ,,,,,,,,,QUIZZO,MEDFORD NJ,,
SLIGO,"RESTAURANT,BAR",8:00 PM,TUESDAY,,MEDIA,,,MEDIA,PA,,,,,,,,,QUIZZO,"MEDIA, PA",,
PUDDLERS KITCHEN & TAP,"RESTAURANT,BAR",7:00 PM,TUESDAY,,BRIDGEPORT,,,BRIDGEPORT,PA,,,,,,,,@QUIZZOBYSEAN,QUIZZO,"BRIDGEPORT, PA",,
MIDNIGHT OIL,"RESTAURANT,BAR",7:00 PM,TUESDAY,,"NEWARK, DE",,,NEWARK,DE,,,,,,,,,QUIZZO,NEWARK DE,,
NAKED BREWING,"RESTAURANT,BAR",7:00 PM,TUESDAY,,BRISTOL,,,BRISTOL,PA,,,,,,,,,QUIZZO,"BRISTOL, PA",,
POUR HOUSE,"RESTAURANT,BAR",7:00 PM,TUESDAY,,EXTON,,,EXTON,PA,,,,,,,,@H6TRIVIA,QUIZZO,"EXTON, PA",,
WORKHORSE,"RESTAURANT,BAR",6:30 PM,TUESDAY,,KING OF PRUSSIA,,,KING OF PRUSSIA,PA,,,,,,,,,QUIZZO,"KOP, PA",,
GREAT AMERICAN PUB,"RESTAURANT,BAR",8:00 PM,WEDNESDAY,,CONSHOHOCKEN,123 FAYETTE ST,,CONSHOHOCKEN,PA,19428,,,,,,,DJ GADGET,QUIZZO,"123 FAYETTE ST, CONSHOHOCKEN, PA 19428",4074427945276454,-75.30533390308759
GREAT AMERICAN PUB,"RESTAURANT,BAR",8:00 PM,WEDNESDAY,,WAYNE,,,WAYNE,PA,,,,,,,,,QUIZZO,"WAYNE, PA",,
JARRETTOWN HOTEL,"RESTAURANT,BAR",7:00 PM,WEDNESDAY,,DRESHER,,,DRESHER,PA,,,,,,,,@INTHEMIXBARSCENE,QUIZZO,"DRESHER, PA",,
BARNABY'S WEST CHESTER,"RESTAURANT,BAR",7:30 & 10 PM,WEDNESDAY,,WEST CHESTER,,,WEST CHESTER,PA,,,,,,,,MR QUIZZO,QUIZZO,"WEST CHESTER, PA",,
TAPHOUSE 23,"RESTAURANT,BAR",7:00 PM,WEDNESDAY,,BRIDGEPORT,,,BRIDGEPORT,PA,,,,,,,,IN THE MIX,QUIZZO,"BRIDGEPORT, PA",,
TANNERY RUN,"RESTAURANT,BAR",7:00 PM,WEDNESDAY,,AMBLER,,,AMBLER,PA,,,,,,,,,QUIZZO,"AMBLER, PA",,
PJ WHEILAN'S MAPLE SHADE,"RESTAURANT,BAR",7:00 PM,WEDNESDAY,,"MAPLE SHADE, NJ",,,MAPLE SHADE,NJ,,,,,,,,THE QUIZ KIDS,QUIZZO,MAPLE SHADE NJ,,
DEL PEZ,"RESTAURANT,BAR",7:30 PM,WEDNESDAY,,GLEN MILLS,,,GLEN MILLS,PA,,,,,,,,,QUIZZO,"GLEN MILLS, PA",,
FREE WILL BREWING,"RESTAURANT,BAR",7:00 PM,WEDNESDAY,,PERKASIE,,,PERKASIE,PA,,,,,,,,THOMPSON ENTERTAINMENT,QUIZZO,"PERKASIE, PA",,
BOBBY RAY'S PENNSAUKEN TAVERN,"RESTAURANT,BAR",7:00 PM,WEDNESDAY,,PENNSAUKEN,,,PENNSAUKEN,PA,,,,,,,,THE QUIZ KIDS,QUIZZO,"PENNSAUKEN, PA",,
GRID IRON,"RESTAURANT,BAR",7:45 PM,WEDNESDAY,,ASTON,,,ASTON,PA,,,,,,,,THOMPSON ENT,QUIZZO,"ASTON, PA",,
STABLE 12,"RESTAURANT,BAR",7:00 PM,WEDNESDAY,,PHOENIXVILLE,368 BRIDGE STREET,,PHOENIXVILLE,PA,19460,,,,,,,,QUIZZO,"368 BRIDGE STREET, PHOENIXVILLE, PA 19460",40.13283401942544,-75.52076862087662
VON C BREWING,"RESTAURANT,BAR",7:00 PM,THURSDAY,,NORRISTOWN,,,NORRISTOWN,PA,,,,,,,,MIKE ARGY,QUIZZO,"NORRISTOWN, PA",,
RYAN'S PUB,"RESTAURANT,BAR",8:30 PM,THURSDAY,,WEST CHESTER,,,WEST CHESTER,PA,,,,,,,,MR QUIZZO,QUIZZO,"WEST CHESTER, PA",,
JD MCGILLICUDDY'S,"RESTAURANT,BAR",8:00 PM,THURSDAY,,BROOKLINE,,,BROOKLINE,PA,,,,,,,,MUVE,QUIZZO,"BROOKLINE, PA",,
LOWER FORGE BREWING,"RESTAURANT,BAR",7:00 PM,THURSDAY,,"MEDFORD, NJ",,,MEDFORD,NJ,,,,,,,,,QUIZZO,MEDFORD NJ,,
MANATAWNY STILLWORKS,"RESTAURANT,BAR",8:00 PM,THURSDAY,,ARDMORE,,,ARDMORE,PA,,,,,,,,@PHILLYQUIZZO,QUIZZO,"ARDMORE, PA",,
VILLIAGE IDIOT,"RESTAURANT,BAR",7:00 PM,THURSDAY,,"PENNSAUKEN, NJ",,,PENNSAUKEN,NJ,,,,,,,,THE QUIZ KIDS,QUIZZO,PENNSAUKEN NJ,,
5 WEST,"RESTAURANT,BAR",7:00 PM,THURSDAY,,"PALMYRA, NJ",,,PALMYRA,NJ,,,,,,,,THE QUIZ KIDS,QUIZZO,PALMYRA NJ,,
LUNACY,"RESTAURANT,BAR",7:00 PM,THURSDAY,,"HADDONFIELD, NJ",,,HADDONFIELD,NJ,,,,,,,,,QUIZZO,HADDONFIELD NJ,,
MECHANICAL BREWING,"RESTAURANT,BAR",6:30 PM,THURSDAY,,"CHERRY HILL, NJ",,,CHERRY HILL,NJ,,,,,,,,,QUIZZO,CHERRY HILL NJ,,
WELL CRAFTED,"RESTAURANT,BAR",7:30 PM,THURSDAY,,AMBLER,,,AMBLER,PA,,,,,,,,,QUIZZO,"AMBLER, PA",,
BLUEPRINT,"RESTAURANT,BAR",7:30 PM,THURSDAY,,HARLEYSVILLE,,,HARLEYSVILLE,PA,,,,,,,,THE QUIZZO GUYS,QUIZZO,"HARLEYSVILLE, PA",,
SEPARATIST BEER,"RESTAURANT,BAR",8:00 PM,THURSDAY,,EASTON,,,EASTON,PA,,,,,,,,MFROME8,QUIZZO,"EASTON, PA",,
PIZZA TIME,"RESTAURANT,BAR",8:00 PM,THURSDAY,,WEST POINT,,,WEST POINT,PA,,,,,,,,THE QUIZZO GUYS,QUIZZO,"WEST POINT, PA",,
IMPRINT BEER CO,"RESTAURANT,BAR",7:00 PM,THURSDAY,,HATFIELD,,,HATFIELD,PA,,,,,,,,LUNCH MONEY QUIZZO,QUIZZO,"HATFIELD, PA",,
