Name,Yelp Alias,RESERVATION_LINK,Address,Latitude,Longitude,Website,Categories,Price,Review_Count,SIPS_PARTICIPANT,RW_PARTICIPANT,Neighborhoods,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Smoking,Yelp_Rating,Popularity,Parking,Best_Nights,Payment,Minority_Owned,Good_For,Offers,Options,Vibes,Accessibility,Dogs_Allowed,Packaging,Reservation_Type,Seating,Meal_Types,Music,Alcohol_Options,Amenities
New Deck Tavern,new-deck-tavern-philadelphia,,"3408 Sansom St, Philadelphia, PA 19104",39.9535171,-75.19263644,http://www.newdecktavern.com,"['American (Traditional)', 'Irish']",$$,457.0,N,N,University City,Closed,11:00 AM - 12:00 AM,11:00 AM - 12:00 AM,11:00 AM - 1:00 AM,11:00 AM - 1:00 AM,11:00 AM - 1:00 AM,12:00 PM - 11:00 PM,,3.5,25.0,"Street Parking, Bike Parking, Garage Parking",,Credit Cards,Women-owned,Dinner,"Offers Delivery, Offers Takeout, Offers Catering",Vegetarian Options,"Casual, Moderate Noise",,True,,Takes Reservations,"Outdoor Seating, Heated Outdoor Seating, Covered Outdoor Seating, Private Dining",,,"Happy Hour, Full Bar","TV, Wi-Fi"
New Delhi Indian Restaurant,new-delhi-indian-restaurant-philadelphia,,"4004 Chestnut St, Philadelphia, PA 19104",39.95538,-75.20261,http://www.newdelhiweb.com,"['Indian', 'Buffets', 'Vegan']",$$,554.0,N,N,University City,Closed,11:30 AM - 9:00 PM,11:30 AM - 9:00 PM,11:30 AM - 9:00 PM,11:30 AM - 10:00 PM,11:30 AM - 10:00 PM,11:30 AM - 9:00 PM,,3.8,39.0,"Street Parking, Bike Parking",,"Credit Cards, Android Pay, Apple Pay",Asian-owned,Dinner,"Offers Delivery, Offers Takeout, Offers Catering","Vegan Options, Vegetarian Options","Classy, Casual, Moderate Noise","Open to All, Wheelchair Accessible",,,Takes Reservations,Outdoor Seating,Dinner,,Full Bar,"TV, Wi-Fi"
New Liberty Distillery,new-liberty-distillery-philadelphia,,"1431 N Cadwallader St, Philadelphia, PA 19122",39.973763,-75.140659,http://www.newlibertydistillery.com,"['Distilleries', 'Venues & Event Spaces', 'Whiskey Bars']",$$,54.0,N,N,Olde Kensington,2:00 PM - 6:00 PM,2:00 PM - 6:00 PM,2:00 PM - 6:00 PM,2:00 PM - 6:00 PM,2:00 PM - 11:00 PM,2:00 PM - 11:00 PM,2:00 PM - 6:00 PM,,4.3,32.0,"Street Parking, Bike Parking",,"Credit Cards, Android Pay, Apple Pay",,Dinner,"Offers Delivery, Offers Takeout",,Classy,"Open to All, Gender-neutral restrooms",,,"Walk-ins Welcome, Takes Reservations","Outdoor Seating, Heated Outdoor Seating, Covered Outdoor Seating, Drive-Thru",,"Live Music, Background Music","Happy Hour, Full Bar","TV, Pool Table, Wi-Fi"
New Wave Cafe,new-wave-cafe-philadelphia,,"784 S 3rd St, Philadelphia, PA 19147",39.9381187,-75.1484869,http://www.newwavecafe.com,"['American (Traditional)', 'Bars', 'Breakfast & Brunch']",$$,242.0,N,N,Queen Village,11:00 AM - 2:00 AM,11:00 AM - 2:00 AM,11:00 AM - 2:00 AM,11:00 AM - 2:00 AM,11:00 AM - 2:00 AM,10:00 AM - 2:00 AM,9:00 AM - 2:00 AM,,3.5,37.0,"Street Parking, Bike Parking","Wednesday, Thursday, Friday",Credit Cards,,Dinner,"Offers Delivery, Offers Takeout","Vegan Options, Vegetarian Options","Casual, Moderate Noise",Gender-neutral restrooms,,,Takes Reservations,Outdoor Seating,Dinner,Juke Box,"Happy Hour, Full Bar","TV, Pool Table, Wi-Fi"
New York Gyro Place,new-york-gyro-place-philadelphia,,"4407 Chestnut St, Philadelphia, PA 19104",39.956729,-75.210063,http://www.newyorkgyroplace.co,"['Halal', 'Pakistani', 'Middle Eastern']",$,67.0,N,N,"Spruce Hill, University City",Closed,12:00 PM - 11:00 PM,12:00 PM - 11:00 PM,12:00 PM - 11:00 PM,12:00 PM - 11:00 PM,12:00 PM - 11:00 PM,12:00 PM - 11:00 PM,,4.1,36.0,"Street Parking, Bike Parking",,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout, Offers Catering",,"Classy, Casual, Moderate Noise",,,,Takes Reservations,Outdoor Seating,Dinner,,"Alcohol, Happy Hour","TV, Wi-Fi"
New York Gyro Truck,new-york-gyro-truck-philadelphia-2,,"41ST And Walnut, Philadelphia, PA 19104",39.95448202,-75.20524396,,"['Middle Eastern', 'Food Trucks']",$,90.0,N,N,"Spruce Hill, University City",9:30 AM - 8:30 PM,9:30 AM - 8:30 PM,9:30 AM - 8:30 PM,9:30 AM - 8:30 PM,9:30 AM - 8:30 PM,9:30 AM - 8:30 PM,9:30 AM - 8:30 PM,,4.7,35.0,"Street Parking, Bike Parking",,,,Dinner,"Offers Delivery, Offers Takeout, Offers Catering",,"Classy, Casual, Moderate Noise",,,,Takes Reservations,Outdoor Seating,,,Alcohol,"TV, Wi-Fi"
Nick's Bar and Grille,nicks-bar-and-grille-philadelphia,,"16 S 2nd St, Philadelphia, PA 19106",39.9495,-75.14404,http://www.nicksroastbeefbarandgrille.com/,"['Bars', 'Sandwiches', 'American (Traditional)']",$$,198.0,N,N,Old City,Closed,Closed,12:00 PM - 2:00 AM,12:00 PM - 2:00 AM,12:00 PM - 2:00 AM,12:00 PM - 2:00 AM,12:00 PM - 2:00 AM,,3.9,50.0,"Street Parking, Bike Parking","Tuesday, Wednesday, Friday",Credit Cards,,Dinner,"Offers Delivery, Offers Takeout",Vegetarian Options,"Casual, Moderate Noise",,,,Takes Reservations,Outdoor Seating,Dinner,,"Happy Hour, Full Bar","TV, Pool Table, Wi-Fi"
Nick's Old Original Roast Beef,nicks-old-original-roast-beef-philadelphia,,"2149 S 20th St, Philadelphia, PA 19145",39.92443,-75.17928,http://www.nicksroastbeef.com,"['Dive Bars', 'Sandwiches']",$,290.0,N,N,,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,Closed,True,4.4,46.0,"Street Parking, Bike Parking","Monday, Wednesday, Friday",Credit Cards,,Dinner,"Offers Delivery, Offers Takeout",Vegetarian Options,"Divey, Moderate Noise",,,,Takes Reservations,Outdoor Seating,Dinner,,Full Bar,"TV, Pool Table, Wi-Fi"
Nifty Fifty's Fishtown,nifty-fiftys-fishtown-philadelphia,,"2431 Aramingo Ave, Philadelphia, PA 19125",39.97388846,-75.12063226,https://www.niftyfiftys.com/fishtown-philadelphia-pa/,"['Burgers', 'Juice Bars & Smoothies', 'American (Traditional)']",,41.0,N,N,,11:00 AM - 11:00 PM,11:00 AM - 11:00 PM,11:00 AM - 11:00 PM,11:00 AM - 11:00 PM,11:00 AM - 12:00 AM,11:00 AM - 12:00 AM,11:00 AM - 11:00 PM,,3.5,31.0,Private Lot Parking,,,,Dinner,"Offers Delivery, Offers Takeout",,,,,,,"Outdoor Seating, Covered Outdoor Seating",,,,
NINE,nine-philadelphia,,"2829 W Girard Ave, Philadelphia, PA 19130",39.97474,-75.18282,http://www.ninethaiphilly.com,"['Thai', 'Asian Fusion', 'Vegetarian']",$$,103.0,N,N,Brewerytown,4:00 PM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 9:00 PM,,4.5,40.0,"Street Parking, Bike Parking",,"Credit Cards, Cryptocurrency",Women-owned,Dinner,"Offers Delivery, Offers Takeout, Offers Catering, Offers Military Discount",Vegan Options,"Trendy, Intimate, Romantic, Quiet","Open to All, Wheelchair Accessible, Gender-neutral restrooms",True,"Plastic-free packaging, Compostable containers available, Bring your own container allowed",Takes Reservations,"Covered Outdoor Seating, Drive-Thru",,,"Alcohol, Happy Hour","TV, Wi-Fi"
Nine Ting,nine-ting-philadelphia,,"926 Race St, Philadelphia, PA 19107",39.95508368,-75.15529173,http://www.ninetingpa.com,"['Korean', 'Barbeque', 'Chinese']",$$$,1275.0,N,N,Chinatown,12:00 PM - 11:00 PM,12:00 PM - 11:00 PM,12:00 PM - 11:00 PM,12:00 PM - 11:00 PM,12:00 PM - 12:00 AM,12:00 PM - 12:00 AM,12:00 PM - 11:00 PM,,3.9,49.0,"Street Parking, Bike Parking",,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout","Vegan Options, Vegetarian Options","Trendy, Casual, Moderate Noise",,,,Takes Reservations,"Outdoor Seating, Heated Outdoor Seating, Covered Outdoor Seating",Dinner,,"Alcohol, Happy Hour","TV, Wi-Fi"
Nipotina,nipotina-philadelphia,,"2238 S 21st St, Philadelphia, PA 19145",39.92351766,-75.18188652,http://nipotinaphilly.com,"['Sandwiches', 'Breakfast & Brunch', 'Steakhouses']",,16.0,N,N,,Closed,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,,4.6,42.0,,,,,Dinner,,Vegan Options,,,,,,,,,,
Nirvana Indian Kitchen,nirvana-indian-kitchen-philadelphia,,"795 S 3rd St, Philadelphia, PA 19147",39.93814542,-75.14831056,http://nirvanabistropa.com,"['Indian', 'Desserts', 'Seafood']",,38.0,N,N,Queen Village,4:00 PM - 8:30 PM,11:30 AM - 8:45 PM,11:30 AM - 8:45 PM,11:30 AM - 8:45 PM,11:30 AM - 9:15 PM,11:30 AM - 9:15 PM,11:30 AM - 8:45 PM,,4.7,38.0,,,,,Dinner,"Offers Delivery, Offers Takeout",,,,,,,"Outdoor Seating, Covered Outdoor Seating",,,,
Noir Restaurant & Bar,noir-restaurant-and-bar-philadelphia,,"1909 E Passyunk Ave, Philadelphia, PA 19148",39.92633571,-75.167454,http://noirrestaurantandbar.com,"['Pubs', 'Italian', 'Salad']",$$,168.0,N,N,East Passyunk Crossing,11:30 AM - 3:00 PM,11:30 AM - 3:00 PM,11:30 AM - 3:00 PM,11:30 AM - 3:00 PM,11:30 AM - 3:00 PM,11:30 AM - 3:00 PM,11:30 AM - 9:00 PM,,4.2,46.0,"Street Parking, Bike Parking","Wednesday, Thursday, Friday",Credit Cards,,Dinner,"Offers Delivery, Offers Takeout, Offers Catering",,"Casual, Moderate Noise",,,,Takes Reservations,Outdoor Seating,,,Full Bar,"TV, Pool Table, Wi-Fi"
Nom Nom Ramen,nom-nom-ramen-philadelphia,,"20 S 18th St, Philadelphia, PA 19103",39.9524994,-75.1703873,http://www.nomnomramen.com/,['Ramen'],$$,576.0,N,N,"Penn Center, Rittenhouse Square",11:00 AM - 2:30 PM,11:00 AM - 2:30 PM,11:00 AM - 2:30 PM,11:00 AM - 2:30 PM,11:00 AM - 2:30 PM,11:00 AM - 2:30 PM,11:00 AM - 2:30 PM,,3.8,34.0,"Street Parking, Bike Parking",,,,Dinner,"Offers Delivery, Offers Takeout","Vegan Options, Vegetarian Options","Classy, Casual, Quiet",Gender-neutral restrooms,,,Takes Reservations,Outdoor Seating,Dinner,,Alcohol,"TV, Wi-Fi"
