Drink,Sips Price,Normal Price,Comparison Result,Comparison Fraction,Sips Bar
Stella Artois,$5.00,$7.25,2.25,31.0,The Patio @ Thirteen Restaurant
Paloma,$7.00,$10.50,3.5,33.0,Pearl & Mary
White,$6.10,$10.00,3.9,39.0,Pearl & Mary
Rosé,$6.05,$9.62,3.57,37.0,Pearl & Mary
Frozen Astronaut,$6.67,$6.50,-0.17,-3.0,Prunella
Frozen Astronaut,$6.67,$6.50,-0.17,-3.0,Prunella
White,$6.10,$10.00,3.9,39.0,Prunella
Rosé,$6.05,$9.62,3.57,37.0,Prunella
Margarita,$7.00,$11.00,4.0,36.0,Sampan
Moscow Mule,$7.00,$11.00,4.0,36.0,Sampan
Rosé,$6.05,$9.62,3.57,37.0,Sampan
Paloma,$7.00,$10.50,3.5,33.0,Sueno
White,$6.10,$10.00,3.9,39.0,Sueno
Rosé,$6.05,$9.62,3.57,37.0,Sueno
Margarita,$7.00,$11.00,4.0,36.0,Thanal Indian Tavern
Merlot,$6.00,$12.12,6.12,50.0,Time Restaurant
Pinot Gris / Pinot Grigio,$6.00,$9.75,3.75,38.0,Time Restaurant
Margarita,$7.00,$11.00,4.0,36.0,Tir Na Nog Irish Bar & Grill
Sauvignon Blanc,$6.00,$11.00,5.0,45.0,Tir Na Nog Irish Bar & Grill
Rosé,$6.05,$9.62,3.57,37.0,Tir Na Nog Irish Bar & Grill
Stateside Seltzer,$5.00,$9.00,4.0,44.0,Tir Na Nog Irish Bar & Grill
Strongbow Cider,$5.00,$7.00,2.0,29.0,Tir Na Nog Irish Bar & Grill
Espresso Martini,$7.00,$14.00,7.0,50.0,Top Tomato Bar & Pizza
Moscow Mule,$7.00,$11.00,4.0,36.0,Top Tomato Bar & Pizza
Frozen Astronaut,$6.67,$6.50,-0.17,-3.0,Tradesman's
White,$6.10,$10.00,3.9,39.0,Tradesman's
Rosé,$6.05,$9.62,3.57,37.0,Tradesman's
Pineapple Lemonade,$7.00,$11.00,4.0,36.0,Uptown Beer Garden
White,$6.10,$10.00,3.9,39.0,Uptown Beer Garden
Rosé,$6.05,$9.62,3.57,37.0,Uptown Beer Garden
Margarita,$7.00,$11.00,4.0,36.0,Veda - Modern Indian Bistro
White,$6.10,$10.00,3.9,39.0,Via Locusta
Grenache,$6.00,$12.00,6.0,50.0,Walnut Garden - Temporarily Closed
Pinot Gris / Pinot Grigio,$6.00,$9.75,3.75,38.0,The Wayward
Pinot Noir,$6.00,$8.50,2.5,29.0,The Wayward
Paloma,$7.00,$10.50,3.5,33.0,Wicked Wolf
Paloma,$7.00,$10.50,3.5,33.0,Wrap Shack
Pinot Gris / Pinot Grigio,$6.00,$9.75,3.75,38.0,Wrap Shack
PBR,$5.00,$4.00,-1.0,-25.0,Wrap Shack
