Name,Address,SIPS_URL,Website,Latitude,Longitude,SIPS_COCKTAILS,SIPS_WINE,SIPS_BEER,SIPS_HALFPRICEDAPPS,RW_PHOTO
Time Restaurant,"1315 Sansom St, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#time-restaurant,http://www.timerestaurant.net,39.95005455,-75.16263828,"The Swifty: Hornito's tequila, Aperol, lime juice, cranberry juice, ginger beer.","Merlot
Pinot Grigio",Kenzinger,"Deviled eggs
Pulled pork sliders
Mussels in red sauce",https://centercityphila.org/uploads/attachments/cj2rpr9n500lk92qdmkjqkiw7-time-dining-1.110.0.1500.1500.full.jpg
Tir Na Nog Irish Bar & Grill,"1600 Arch St, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#tir-na-nog-irish-bar-grill,http://www.tirnanogphilly.com,39.9544332,-75.1667563,,,,,https://centercityphila.org/uploads/attachments/cj29coi8h0orfwuqdku0ynchn-20170503-111002.0.288.1297.1297.full.png
Top Tomato Bar & Pizza,"116 S 11th St, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#top-tomato-bar-pizza,https://www.toptomatophilly.com,39.9495956,-75.15896867,"Hornitos Paloma: Hornitos Tequila, Grapefruit, Soda, Lime
Espresso Martini: Borghetti Cafe Espresso, Vodka, Coffee Liqueur
Banana Daiquiri: Spiced Rum, Creme de Banana, Sour
French Martini: Vodka, Pineapple, Black Raspberry","House Cabernet
House White
Champagne","Bud Light
Modelo Especial
Kona Big Wave
Yards Pale Ale
Yuengling Lager
Michelob Ultra","Cheesesteak Sliders
Cheeseburger Sliders
Bruschetta
Penne Vodka
Cheesy Garlic Bread
Cheese Fries
Jalapeno Poppers
Onion Rings
Zucchini Sticks
Buffalo Chicken Egg Rolls
Cheesesteak Egg Rolls",https://centercityphila.org/uploads/attachments/cky4i44755fh8njqdq6foe7fa-top-tomato.0.628.3024.3024.full.jpg
Tradesman's,"1322 Chestnut Street, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#tradesman-s,https://tradesmansphl.com,39.9506137,-75.1627406,"$7 Hornitos Spicy Paloma (Triple Sec, Jalapeno simple syrup, grapefruit juice)
$ 7 Hornitos Ranch Water (hornitos, lime juice, sparkling water)","House Red
House White
House Rose","Kenzinger
2SP Up & Out
Yards Brawler","$6
Mac & Cheese
Cheese Fries
Pulled Pork Sandwiches
BBQ Chicken Fingers
Stay here after SIPS and get 15% off dinner!",https://centercityphila.org/uploads/attachments/cjvqrmzr71gozukqd9zklmrgb-tradesmans.663.29.614.614.full.jpg
Treble & Bass,"219 S Broad Street, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#treble-bass,https://www.cambriaphiladelphia.com/en-us/dining,39.94879405,-75.16456372,,,,,https://centercityphila.org/uploads/attachments/cjv74hqb90w8hs6qdcaa40kqh-pa776bar1.892.0.3333.3333.full.jpg
Uptown Beer Garden,"1735 John F Kennedy Blvd, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#uptown-beer-garden,http://www.bruphilly.com,39.95415773,-75.1687921,"Hornito's Uptown Vibes (Hornito's, Triple Sec, Blood Orange, Lime Juice)","House Red 
House White 
House White Rose","2SP Up & Out
Troegs Dreamweavers
2SP Poni Boi","$5 Snack: 
Single Smash Burger
soft pretzel
1/4 LB hot dog
Boardwalk Fries
Stay here after SIPS and get 15% off dinner!",https://centercityphila.org/uploads/attachments/cj0y4uf6z0cq9yvqd5m3xt7do-1608-ccd-sips-2792.1400.8.4992.4992.full.jpg
Veda - Modern Indian Bistro,"1920 Chestnut St., Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#veda-modern-indian-bistr,http://vedaphilly.com,39.95175635,-75.17289476,"Lemon Cello Margarita
Spicy Hornitos Margarita
Old Fashion Gabbar
Mumbai Mule/","House Red Wine
House White Wine","Kingfisher Lager
Rupee Beer","Goat Cheese Naan - $3
Lassoni Gobi - $4
Crispy Spinach Chaat - $4
Calcutta Pork Ribs - $5
  Stay here after SIPS and get 15% off dinner!",https://centercityphila.org/uploads/attachments/ckxglxq5b4luisrqdwjk1e6le-veda.0.52.710.710.full.jpg
Via Locusta,"1723 Locust St,  Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#via-locust,https://www.vialocusta.com,39.94891916,-75.16961782,"Rosemarina (hornitos tequila, rosemary, grapefruit)
Hugo Spritz (elderflower, mint, lemon)","White
Rosato
Red",New Trail Crisp Lager,"Focaccia
Fried Zucchini
Chicken Milanese Half Sandwich
Cacio E Pepe
Stuffed Peppers
Chicken Spiedini
Agnolotti
Piadina
Panzerotti
Mushroom Toast",https://centercityphila.org/uploads/attachments/cl4rbyobb02avtvqdlrra2ag3-via-locusta.0.2648.5304.5304.full.jpg
Village Whiskey,"118 S 20th St, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#village-whiskey,http://www.villagewhiskey.com,39.9514387,-75.17384807,"NAKED BIKE RIDE
VW Jalapeño-Infused Hornitos,
Watermelon, Lime
_____
IT’S ALWAYS SUNNY...
VW Blueberry-Infused Bourbon, Ginger, Lime
_____
THE GARCES ROSE GOLD
VW Rosemary-Infused Vodka,
Passionfruit, Angostura Bitters","Pinot Grigio, Alverdi
Pinot Noir, Proverb",Sly Fox Pilsner; Narragansett 16oz Lager,"Fried Pickles
Hand breaded, buffalo aioli 4
_____
House made Tater Tots
Smoked onion crÈme frAÎche 4.5
_____
Deviled eggs
Mustard, Tarragon, Capers 3
_____
Whipped Ricotta
Calabrian Chile Crunch,
Seasonal Crudite,
Garlic Sourdough 7",https://centercityphila.org/uploads/attachments/cjpynepcg1u6zpbqdfmh45zsz-villagewhiskey.3.0.594.594.full.jpg
Vintage Wine Bar & Bistro,"129 S 13th St, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#vintage-wine-bar-bistro,http://www.vintage-philadelphia.com,39.94955443,-75.16190271,,,,,https://centercityphila.org/uploads/attachments/cj2ly1xdp00sf9pqdmi3z04gh-vintage-bar.200.0.450.450.full.jpg
