Name,Address,RW Url,Website,Latitude,Longitude,Details,Deals Offered,Deal Website,Open Table Link,Yelp Rating,Review Count,Price,Categories,Photo
Butcher Bar,"2034 Chestnut St, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#butcher-bar,http://www.butcherbarphilly.com,39.9521242,-75.174893,Participating in dinner only. Offering indoor and outdoor dining.,$45 DINNER,https://centercityphila.org/uploads/attachments/cllntmgoqb021saqdx4mq8n1m-butcher.pdf,https://www.opentable.com/restaurant/profile/269854/reserve?ref=9169,4.0,757,$$,"['Steakhouses', 'Bars', 'Comfort Food']",https://centercityphila.org/uploads/attachments/cj3kf740600ctnxqdyui7uxu3-butcher-front.0.0.960.960.full.jpg
Caribou Café,"1126 Walnut St, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#caribou-café,http://www.cariboucafe.com,39.948647,-75.16027061637016,Participating in lunch and dinner. Offering indoor and outdoor dining.,$45 DINNER AND $20 LUNCH,https://centercityphila.org/uploads/attachments/clkcvdr049xkx0vqd4so0rr44-cariboucafedinnerlunch.pdf,https://www.opentable.com/restaurant/profile/113221/reserve?ref=9169,,0,,,https://centercityphila.org/uploads/attachments/cko35uh790a93b7qd1naf7cv8-rw-caribou-cafe.0.0.1440.1440.full.jpg
Chart House,"555 S. Columbus Blvd, Philadelphia, PA 19147",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#chart-house,https://www.chart-house.com/location/chart-house-philad,39.941185,-75.1404988,"Participating in dinner only. Offering indoor dining.  Not participating on Saturday, September 16 and Saturday, September 23.",$45 DINNER,https://centercityphila.org/uploads/attachments/clmexrjffcajhsaqdibo2hhx7-charthouse.pdf,https://www.opentable.com/r/chart-house-restaurant-philadelphia?ref=9169#reserve,2.5,418,$$$,"['Seafood', 'Steakhouses', 'Venues & Event Spaces']",https://centercityphila.org/uploads/attachments/clm9jhpk4c4kqhnqd02g8e1nh-charthouse.217.0.871.871.full.jpg
Chez Colette,"120 S 17th St, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#chez-colette-2,https://www.sofitel-philadelphia.com/dining-lounge,39.95093385,-75.16964767951899,Participating in dinner only. Closed Sunday and Monday. Offering indoor dining.,$45 DINNER,https://centercityphila.org/uploads/attachments/clmgcq3f1chj5m8qdir86oq2q-chezcollette.pdf,https://www.opentable.com/restaurant/profile/7299/reserve?ref=9169,3.5,38,$$,"['French', 'Breakfast & Brunch', 'Cocktail Bars']",https://s3.amazonaws.com/static-webstudio-accorhotels-usa-1.wp-ha.fastbooking.com/wp-content/uploads/sites/5/2016/10/16143824/chez2.jpg
Chez Hansi,"1610 South St, Philadelphia, PA 19146",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#chez-hansi,,39.9439603,-75.16920174644446,Participating in dinner. Offering indoor dining and BYOB.,$45 DINNER,https://centercityphila.org/uploads/attachments/clluwuwaab8disaqdu1fy759a-chezhansi.pdf,https://www.opentable.com/restaurant/profile/1262203/reserve?ref=9169,4.5,23,,"['Modern European', 'Desserts', 'American (New)']",https://centercityphila.org/uploads/attachments/clmeit9z8cgumhnqdj77kie99-chezhansi.0.169.1536.1536.full.jpg
Chubby Cattle,"146 N 10th Street, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#chubby-catt,,39.9548883,-75.1561251,"Participating in lunch, dinner, and takeout. Offering indoor dining. Not participating on Saturday, September 16 and Saturday, September 23.",$45 DINNER | $20 LUNCH,https://centercityphila.org/uploads/attachments/clm6l5gvubr4oomqdzbfysxia-chubbycattledinner.pdf,,4.5,1481,$$,"['Chinese', 'Hot Pot', 'Asian Fusion']",https://centercityphila.org/uploads/attachments/cllnucnrfb03qsaqdyjkprfnb-cc-philly-web-imagery.249.0.1486.1486.full.png
City Winery,"990 Filbert St, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#city-winery,https://citywinery.com/philadelphia,39.9522713,-75.156091,Participating in dinner only. Offering indoor and outdoor dining.,$45 DINNER,https://centercityphila.org/uploads/attachments/cllkwb958awa5saqdna2mb8ub-citywinery.pdf,,2.5,242,$$$,"['Wine Bars', 'Venues & Event Spaces', 'American (New)']",https://centercityphila.org/uploads/attachments/cl2i2gt9ra24pjwqdpydzhbj1-city-winery-2.380.0.1174.1174.full.jpg
Con Murphy's Irish Pub,"1700 Ben Franklin Pkwy, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#con-murphy-s-irish-pub,http://www.conmurphyspub.com,39.9556532,-75.16821887769059,Participating in dinner only. Offering indoor and outdoor dining.,$45 DINNER | $20 LUNCH,https://centercityphila.org/uploads/attachments/clmcvj2l5c6gjypqd2aw9cx6l-conmurphy-dinner.pdf,https://www.opentable.com/restaurant/profile/67228/reserve?ref=9169,3.5,352,$$,"['Irish', 'Pubs', 'Sports Bars']",https://centercityphila.org/uploads/attachments/ckosqvaxi17smejqdkl0eolzo-rw-con-murphy.4.0.650.650.full.png
Continental Midtown,"1801 Chestnut St, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#continental-midtown-2,https://continentalmidtown.com,39.95176,-75.170475,"Participating in dinner only. Offering indoor and outdoor dining. Not participating on Saturday, September 16 and Saturday, September 23.",Coming soon,,https://www.opentable.com/restaurant/profile/114355/reserve?ref=9169,3.5,1845,$$,"['American (New)', 'Breakfast & Brunch', 'Cocktail Bars']",https://centercityphila.org/uploads/attachments/cjklggywn00hxtvqd910zdnmy-the-continental-midtown-photo-by-m-fishetti-for-visitphiladelphia.1012.0.4680.4680.full.jpg
Cuba Libre Restaurant & Rum Bar,"10 S 2nd St, Philadelphia, PA 19106",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#cuba-libre-restaurant-rum-bar,http://www.cubalibrerestaurant.com,39.94970711764706,-75.14389658823531,"Participating in dinner only. Offering indoor dining. Not participating on Saturday, September 16 and Saturday, September 23.",$45 DINNER,https://centercityphila.org/uploads/attachments/clksby1nb9u88saqd0s7n4gt6-cubalibre.pdf,,3.5,1357,$$$,"['Cuban', 'Latin American', 'Dance Clubs']",https://centercityphila.org/uploads/attachments/ck573wmpg21w6t1qdw85ms211-copy-of-msh-cubalibrerestaurantrumbarphiladelphia-73.386.0.1000.1000.full.jpg
