Name,Address,SIPS_URL,Website
Miss Saigon Vietnamese Restaurant and Lounge,"1316 Walnut St, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#miss-saigon,http://misssaigonphilly.com
Mona,"1308 Chestnut St, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#mona,https://monaphilly.com
The Mulberry on Arch,"1835 Arch St, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#the-mulberry-on-arch,https://www.themulberryphl.com
Nabrasa Brazilian Steakhouse,"1901 John F Kennedy Blvd, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#nabrasa-brazilian-steakhouse,https://nabrasa.com/center-city-district-restaurant-week
Pagano's Market and Bar,"2001 Market St, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#paganos-market-and-bar,http://www.paganosmarketandbar.com
Pearl & Mary,"114 S 13th St., Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#pearl-mary,https://www.pearlandmary.com
Pizzeria Vetri,"1615 Chancellor St, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#pizzeria-vetri,http://pizzeriavetri.com
PJ Clarkes at the Curtis,"601 Walnut St, Philadelphia, PA 19106",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#pj-clarkes-at-the-curtis,https://pjclarkes.com/location/philadelphia
Prestige by Vesper,"223 S Sydenham St, Philadelphia, PA 19102",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#prestige-by-vesper,https://www.vespersportingclub.com
Prunella,"112 S 13th St, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#prunella,https://prunellaphl.com
Sampan,"124 S 13th St, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#sampan7,http://www.sampanphilly.com
Square 1682,"121 S 17th St, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#square-1682,http://www.square1682.com
Stir Lounge,"1705 Chancellor St, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#stir-lounge,https://stirphilly.com
